,filename,equation_name,errorfunction,RMSE,ConstraintsViolated,DataSize,ErrorWidthPercentage,NoiseLevelPercentage,ErrorScaling
0,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.05_None,n0.01,0.019936443470258067,False,200,0.05,0.01,0.5
1,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.05_Normal,n0.01,0.019948790278320062,True,200,0.05,0.01,0.5
2,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.05_Spike,n0.01,0.030783906386651783,True,200,0.05,0.01,0.5
3,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.05_Square,n0.01,0.044163046516780546,True,200,0.05,0.01,0.5
4,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.075_None,n0.01,0.022030882624262102,False,200,0.075,0.01,0.5
5,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.075_Normal,n0.01,0.022013600949095116,True,200,0.075,0.01,0.5
6,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.075_Spike,n0.01,0.035239570895243794,True,200,0.075,0.01,0.5
7,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.075_Square,n0.01,0.05467233646435947,True,200,0.075,0.01,0.5
8,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.125_None,n0.01,0.01882333199819747,False,200,0.125,0.01,0.5
9,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.125_Normal,n0.01,0.018820561392783562,True,200,0.125,0.01,0.5
10,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.125_Spike,n0.01,0.036685781258912566,True,200,0.125,0.01,0.5
11,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.125_Square,n0.01,0.05865141986358024,True,200,0.125,0.01,0.5
12,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.15_None,n0.01,0.022261925641875197,False,200,0.15,0.01,0.5
13,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.15_Normal,n0.01,0.022279430416844864,True,200,0.15,0.01,0.5
14,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.15_Spike,n0.01,0.04236826573003222,True,200,0.15,0.01,0.5
15,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.15_Square,n0.01,0.06660438499943418,True,200,0.15,0.01,0.5
16,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.1_None,n0.01,0.021318218705517214,False,200,0.1,0.01,0.5
17,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.1_Normal,n0.01,0.021344630291193514,True,200,0.1,0.01,0.5
18,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.1_Spike,n0.01,0.04393073181665871,True,200,0.1,0.01,0.5
19,Feynman17,Feynman17_s200_n0.01_es0.5_ew0.1_Square,n0.01,0.06026491533960932,True,200,0.1,0.01,0.5
20,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.05_None,n0.01,0.021684162598881486,False,200,0.05,0.01,1.5
21,Feynman17,Feynman17_s200_n0.01_es1.5_ew0.05_Normal,n0.01,0.02166163852167813,True,200,0.05,0.01,1.5
