m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0,3.0,1.0,3.0,1.000011636993718,3.0,1.0,0.0833336565834723,0.08402871655760671,Feynman5,y2,0.08402871655760671,0.0,0.0833336565834723
1.0,1.0,1.0,3.0,1.0,3.0,1.0000523871067593,3.0,1.0,0.08333478853709589,0.07856080844694398,Feynman5,y2,0.07856080844694398,0.0,0.08333478853709589
1.0,1.0,1.0,3.0,1.0,3.0,1.000225744243995,3.0,1.0,0.08333960412472392,0.08296517467845885,Feynman5,y2,0.08296517467845885,0.0,0.08333960412472392
1.0,1.0,1.0,3.0,1.0,3.0,1.0026147383951236,3.0,1.0,0.08340598075385727,0.08130385365162027,Feynman5,y2,0.08130385365162027,0.0,0.08340598075385727
1.0,1.0,1.0,3.0,1.0,3.0,1.003304284099416,3.0,1.0,0.08342514422082993,0.08203490796581657,Feynman5,y2,0.08203490796581657,0.0,0.08342514422082993
1.0,1.0,1.0,3.0,1.0,3.0,1.0041925808241456,3.0,1.0,0.08344983448703365,0.08319917901467686,Feynman5,y2,0.08319917901467686,0.0,0.08344983448703365
1.0,1.0,1.0,3.0,1.0,3.0,1.0042447874030014,3.0,1.0,0.08345128568511075,0.08340082555208621,Feynman5,y2,0.08340082555208621,0.0,0.08345128568511075
1.0,1.0,1.0,3.0,1.0,3.0,1.004757814252348,3.0,1.0,0.08346554707376581,0.08760296268061743,Feynman5,y2,0.08760296268061743,0.0,0.08346554707376581
1.0,1.0,1.0,3.0,1.0,3.0,1.0050286610660695,3.0,1.0,0.0834730767019787,0.07995943991813008,Feynman5,y2,0.07995943991813008,0.0,0.0834730767019787
1.0,1.0,1.0,3.0,1.0,3.0,1.0059756938738726,3.0,1.0,0.0834994071591591,0.0810893122274269,Feynman5,y2,0.0810893122274269,0.0,0.0834994071591591
1.0,1.0,1.0,3.0,1.0,3.0,1.0061508808529744,3.0,1.0,0.08350427835183867,0.08191046918276075,Feynman5,y2,0.08191046918276075,0.0,0.08350427835183867
1.0,1.0,1.0,3.0,1.0,3.0,1.0061892046794334,3.0,1.0,0.08350534399051424,0.08747353693602185,Feynman5,y2,0.08747353693602185,0.0,0.08350534399051424
