mom,Bx,By,Bz,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise,Predicted
1.0,1.0051290420994512,1.0,1.0,1.7350171155558554,2.077439558991349,Feynman91,Bx,2.077439558991349,1.7350171155558554,1.6876505799978028
1.0,1.005413055929028,1.0,1.0,1.7351816657147305,1.5381201193834018,Feynman91,Bx,1.5381201193834018,1.7351816657147305,1.6878588291392447
1.0,1.006065709822456,1.0,1.0,1.7355599132500619,1.7264291866242625,Feynman91,Bx,1.7264291866242625,1.7355599132500619,1.6883374111736795
1.0,1.006887708379511,1.0,1.0,1.7360365368521893,1.0585511605191604,Feynman91,Bx,1.0585511605191604,1.7360365368521893,1.688940236240446
1.0,1.0076471721060813,1.0,1.0,1.736477130126793,1.9466636795073222,Feynman91,Bx,1.9466636795073222,1.736477130126793,1.68949726478015
1.0,1.0113625500818357,1.0,1.0,1.7386357317471748,1.7528543174301765,Feynman91,Bx,1.7528543174301765,1.7386357317471748,1.6922231982973557
1.0,1.0139496781736663,1.0,1.0,1.740141933828526,1.7722178366690284,Feynman91,Bx,1.7722178366690284,1.740141933828526,1.6941222193231051
1.0,1.0144937033794834,1.0,1.0,1.7404589837731366,0.9323751607864404,Feynman91,Bx,0.9323751607864404,1.7404589837731366,1.694521639434338
1.0,1.016190321227632,1.0,1.0,1.741448468648073,1.9588920950297235,Feynman91,Bx,1.9588920950297235,1.741448468648073,1.695767489518105
1.0,1.024622876048081,1.0,1.0,1.7463825577808092,1.4308062204440901,Feynman91,Bx,1.4308062204440901,1.7463825577808092,1.7019641938808958
1.0,1.0281139314422454,1.0,1.0,1.7484330859445638,2.1453101875298994,Feynman91,Bx,2.1453101875298994,1.7484330859445638,1.704531833840011
1.0,1.0287235686927785,1.0,1.0,1.7487916344676417,1.7871413743593632,Feynman91,Bx,1.7871413743593632,1.7487916344676417,1.7049803498059604
1.0,1.0308940160064206,1.0,1.0,1.7500692764110357,1.9592398585610784,Feynman91,Bx,1.9592398585610784,1.7500692764110357,1.7065774900962065
1.0,1.0332580586524962,1.0,1.0,1.7514628787874225,1.1544335278060434,Feynman91,Bx,1.1544335278060434,1.7514628787874225,1.708317659743818
1.0,1.034331507769188,1.0,1.0,1.7520963637779976,1.5445196480451457,Feynman91,Bx,1.5445196480451457,1.7520963637779976,1.7091080210369276
1.0,1.0368128148956317,1.0,1.0,1.7535623208576887,1.8767568564706443,Feynman91,Bx,1.8767568564706443,1.7535623208576887,1.7109354320516361
1.0,1.0412963594435811,1.0,1.0,1.7562169877866618,1.683159124956,Feynman91,Bx,1.683159124956,1.7562169877866618,1.714239092976195
1.0,1.043694761278001,1.0,1.0,1.7576401095557486,1.8672490987708354,Feynman91,Bx,1.8672490987708354,1.7576401095557486,1.7160072112450957
1.0,1.0439488666505796,1.0,1.0,1.7577910103823577,1.3660981839094157,Feynman91,Bx,1.3660981839094157,1.7577910103823577,1.7161945752449985
1.0,1.0450074869641357,1.0,1.0,1.7584199293146954,1.8500486331624209,Feynman91,Bx,1.8500486331624209,1.7584199293146954,1.7169752201910387
1.0,1.0456465105467285,1.0,1.0,1.7587997683131955,1.7663746239034657,Feynman91,Bx,1.7663746239034657,1.7587997683131955,1.7174465048008218
1.0,1.045687432030244,1.0,1.0,1.7588240973747222,1.7637912271226837,Feynman91,Bx,1.7637912271226837,1.7588240973747222,1.717476686173058
1.0,1.0466834768278424,1.0,1.0,1.7594164659523965,1.7493716327510165,Feynman91,Bx,1.7493716327510165,1.7594164659523965,1.7182113672761181
1.0,1.049166216613766,1.0,1.0,1.760894588010209,1.634611857214542,Feynman91,Bx,1.634611857214542,1.760894588010209,1.7200430902787796
1.0,1.0492863607675673,1.0,1.0,1.760966174261404,2.233530974756799,Feynman91,Bx,2.233530974756799,1.760966174261404,1.7201317471601696
1.0,1.0560964165897024,1.0,1.0,1.7650324759430378,1.641980850166066,Feynman91,Bx,1.641980850166066,1.7650324759430378,1.7251595294223165
1.0,1.0577482611925095,1.0,1.0,1.766021343035179,1.5466226830267975,Feynman91,Bx,1.5466226830267975,1.766021343035179,1.7263798062376006
1.0,1.0608731490656957,1.0,1.0,1.7678947475482147,1.960102513044554,Feynman91,Bx,1.960102513044554,1.7678947475482147,1.7286890621946256
1.0,1.0627969986024044,1.0,1.0,1.769049875000216,1.3699982705573686,Feynman91,Bx,1.3699982705573686,1.769049875000216,1.7301112780294092
1.0,1.0657848777865913,1.0,1.0,1.7708465223498562,1.396411749957265,Feynman91,Bx,1.396411749957265,1.7708465223498562,1.732320858382621
1.0,1.0698392616743733,1.0,1.0,1.77328961137767,2.6807599264912314,Feynman91,Bx,2.6807599264912314,1.77328961137767,1.7353206412765836
1.0,1.0715175378936532,1.0,1.0,1.774302633153002,1.928070366397986,Feynman91,Bx,1.928070366397986,1.774302633153002,1.7365628821087304
1.0,1.0734310460769971,1.0,1.0,1.775458873272472,1.6974284385617227,Feynman91,Bx,1.6974284385617227,1.775458873272472,1.737979601132237
1.0,1.0769273497255987,1.0,1.0,1.7775748976026304,1.5785516664308707,Feynman91,Bx,1.5785516664308707,1.7775748976026304,1.740569182959229
1.0,1.0773332709549943,1.0,1.0,1.7778208505658233,1.931568599918879,Feynman91,Bx,1.931568599918879,1.7778208505658233,1.7408699170691675
1.0,1.0774301212739443,1.0,1.0,1.7778795421030038,1.5787370280662338,Feynman91,Bx,1.5787370280662338,1.7778795421030038,1.7409416729480738
1.0,1.081229642187616,1.0,1.0,1.7801846924252438,1.609437321744824,Feynman91,Bx,1.609437321744824,1.7801846924252438,1.743757496249287
1.0,1.0841206710200608,1.0,1.0,1.7819420948316438,1.9721382829886758,Feynman91,Bx,1.9721382829886758,1.7819420948316438,1.7459010533504087
1.0,1.0860036598187173,1.0,1.0,1.783088317818175,2.384448137958955,Feynman91,Bx,2.384448137958955,1.783088317818175,1.7472976701045095
1.0,1.0875703303362072,1.0,1.0,1.7840429432689133,1.909923740095144,Feynman91,Bx,1.909923740095144,1.7840429432689133,1.7484599566904342
1.0,1.090499771687265,1.0,1.0,1.785830269664499,1.550762670372185,Feynman91,Bx,1.550762670372185,1.785830269664499,1.7506339512892266
1.0,1.0916434179172727,1.0,1.0,1.786528855597386,1.740360345182818,Feynman91,Bx,1.740360345182818,1.786528855597386,1.7514829174166788
1.0,1.0953034550958458,1.0,1.0,1.7887676368787808,1.3195487599071858,Feynman91,Bx,1.3195487599071858,1.7887676368787808,1.7542008047117708
1.0,1.0994455486861545,1.0,1.0,1.7913069291793071,1.700809079736564,Feynman91,Bx,1.700809079736564,1.7913069291793071,1.7572783523725464
1.0,1.099697753053861,1.0,1.0,1.7914617350286082,1.5297134872323255,Feynman91,Bx,1.5297134872323255,1.7914617350286082,1.757465796528399
1.0,1.099698445392693,1.0,1.0,1.7914621600243488,1.8714233863563885,Feynman91,Bx,1.8714233863563885,1.7914621600243488,1.757466311099894
1.0,1.1023197939166667,1.0,1.0,1.79307248265665,1.537816155843245,Feynman91,Bx,1.537816155843245,1.79307248265665,1.7594149525518952
1.0,1.103056166238741,1.0,1.0,1.7935252732753193,1.31744057679306,Feynman91,Bx,1.31744057679306,1.7935252732753193,1.759962481640144
1.0,1.1042941544512974,1.0,1.0,1.7942869278784,1.4695624846210744,Feynman91,Bx,1.4695624846210744,1.7942869278784,1.7608831146163266
1.0,1.1072229078047031,1.0,1.0,1.7960909129460854,1.5369901596786706,Feynman91,Bx,1.5369901596786706,1.7960909129460854,1.7630617268874018
