x,u,c,t,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise,Predicted
5.0,1.0003917884521198,3.0,1.0,4.242432945532126,4.2592815333058,Feynman17,u,4.2592815333058,4.242432945532126,4.25083754713212
5.0,1.0005398885740213,3.0,1.0,4.242354435598963,4.233100459433983,Feynman17,u,4.233100459433983,4.242354435598963,4.250739872672874
5.0,1.0007404299310658,3.0,1.0,4.242248142063636,4.220246534115316,Feynman17,u,4.220246534115316,4.242248142063636,4.250607652058832
5.0,1.0012773427322843,3.0,1.0,4.241963652462795,4.241106084269257,Feynman17,u,4.241106084269257,4.241963652462795,4.250253880319248
5.0,1.001335959168016,3.0,1.0,4.241932601953423,4.220433302122067,Feynman17,u,4.220433302122067,4.241932601953423,4.250215277773022
5.0,1.0016591217633972,3.0,1.0,4.24176144374105,4.202678705771354,Feynman17,u,4.202678705771354,4.24176144374105,4.250002525232105
5.0,1.0020633018793874,3.0,1.0,4.241547444068121,4.250678024264242,Feynman17,u,4.250678024264242,4.241547444068121,4.249736601962347
5.0,1.0026171708945402,3.0,1.0,4.241254312411675,4.214192531039059,Feynman17,u,4.214192531039059,4.241254312411675,4.249372494395581
5.0,1.0028573572878765,3.0,1.0,4.241127239582341,4.248849726341043,Feynman17,u,4.248849726341043,4.241127239582341,4.249214706546014
5.0,1.0032390533311126,3.0,1.0,4.24092535490081,4.20069689599012,Feynman17,u,4.20069689599012,4.24092535490081,4.2489640899812935
5.0,1.0041201028426345,3.0,1.0,4.240459613249016,4.251384310927178,Feynman17,u,4.251384310927178,4.240459613249016,4.248386234752601
5.0,1.0054397045311583,3.0,1.0,4.2397627183869036,4.280221137577341,Feynman17,u,4.280221137577341,4.2397627183869036,4.247522389459817
5.0,1.0058216820968071,3.0,1.0,4.239561143308159,4.288368574596608,Feynman17,u,4.288368574596608,4.239561143308159,4.247272704740279
5.0,1.0059824036790692,3.0,1.0,4.239476348489395,4.220664316680753,Feynman17,u,4.220664316680753,4.239476348489395,4.247167696250075
5.0,1.0060733302088867,3.0,1.0,4.239428382041363,4.209595357007194,Feynman17,u,4.209595357007194,4.239428382041363,4.247108301744506
5.0,1.0064444476273555,3.0,1.0,4.239232646446705,4.268623683001246,Feynman17,u,4.268623683001246,4.239232646446705,4.246865979462388
