epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise,Predicted
1.0,1.0000006988709154,1.0,1.0,1.0,3.0,0.0654498926907818,0.06640653621153747,Feynman33,c,0.06640653621153747,0.0654498926907818,0.06666426109187677
1.0,1.0017810567623595,1.0,1.0,1.0,3.0,0.06556641684229267,0.0700172187168548,Feynman33,c,0.0700172187168548,0.06556641684229267,0.06676332106941123
1.0,1.0021144249633422,1.0,1.0,1.0,3.0,0.06558823574002491,0.07305557058125707,Feynman33,c,0.07305557058125707,0.06558823574002491,0.06678188597570278
1.0,1.0021981314350152,1.0,1.0,1.0,3.0,0.06559371431578462,0.07049252103197935,Feynman33,c,0.07049252103197935,0.06559371431578462,0.0667865482949226
1.0,1.0027155411600237,1.0,1.0,1.0,3.0,0.06562757870309675,0.06073054029197937,Feynman33,c,0.06073054029197937,0.06562757870309675,0.06681537431403708
1.0,1.0027427104101383,1.0,1.0,1.0,3.0,0.06562935692635849,0.07097490546226987,Feynman33,c,0.07097490546226987,0.06562935692635849,0.0668168883099834
1.0,1.0036228699214793,1.0,1.0,1.0,3.0,0.06568696323166716,0.06052453000456745,Feynman33,c,0.06052453000456745,0.06568696323166716,0.06686595308669911
1.0,1.0038313511017989,1.0,1.0,1.0,3.0,0.06570060829301098,0.05612329391661783,Feynman33,c,0.05612329391661783,0.06570060829301098,0.06687758011442999
1.0,1.0038697662088059,1.0,1.0,1.0,3.0,0.06570312255588516,0.061440253668426155,Feynman33,c,0.061440253668426155,0.06570312255588516,0.06687972274708218
1.0,1.0055286510931487,1.0,1.0,1.0,3.0,0.06581169631767271,0.06227104003574183,Feynman33,c,0.06227104003574183,0.06581169631767271,0.06697231244775968
1.0,1.0056442307674276,1.0,1.0,1.0,3.0,0.06581926098966477,0.06101912893158631,Feynman33,c,0.06101912893158631,0.06581926098966477,0.0669787681239684
1.0,1.0056530223137332,1.0,1.0,1.0,3.0,0.06581983639502492,0.061337650180968734,Feynman33,c,0.061337650180968734,0.06581983639502492,0.06697925919860594
1.0,1.00601010368348,1.0,1.0,1.0,3.0,0.06584320731602347,0.08029154044698172,Feynman33,c,0.08029154044698172,0.06584320731602347,0.06699920787171836
1.0,1.0061811978322996,1.0,1.0,1.0,3.0,0.06585440540187772,0.07007914993791109,Feynman33,c,0.07007914993791109,0.06585440540187772,0.06700876825194932
1.0,1.0064881606826683,1.0,1.0,1.0,3.0,0.06587449607345362,0.07484019261291429,Feynman33,c,0.07484019261291429,0.06587449607345362,0.06702592401768999
1.0,1.006732916078581,1.0,1.0,1.0,3.0,0.06589051527665624,0.0741000360625022,Feynman33,c,0.0741000360625022,0.06589051527665624,0.06703960614934423
1.0,1.0080805826323194,1.0,1.0,1.0,3.0,0.06597871984633777,0.06676688737848618,Feynman33,c,0.06676688737848618,0.06597871984633777,0.06711499099097293
1.0,1.008880255427015,1.0,1.0,1.0,3.0,0.06603105830836051,0.05897546066989386,Feynman33,c,0.05897546066989386,0.06603105830836051,0.06715976136456284
1.0,1.008978813722655,1.0,1.0,1.0,3.0,0.06603750893372577,0.06748848031114554,Feynman33,c,0.06748848031114554,0.06603750893372577,0.06716528123494465
1.0,1.0094770181605186,1.0,1.0,1.0,3.0,0.06607011633793365,0.07206494835008373,Feynman33,c,0.07206494835008373,0.06607011633793365,0.06719319045279713
1.0,1.0102172024308693,1.0,1.0,1.0,3.0,0.06611856128514275,0.07460048463755867,Feynman33,c,0.07460048463755867,0.06611856128514275,0.06723467594646658
1.0,1.0103969587234207,1.0,1.0,1.0,3.0,0.0661303263069785,0.07088526618652774,Feynman33,c,0.07088526618652774,0.0661303263069785,0.06724475456486186
1.0,1.0104065014102017,1.0,1.0,1.0,3.0,0.0661309508743678,0.06385809027310932,Feynman33,c,0.06385809027310932,0.0661309508743678,0.06724528964713808
1.0,1.0104228623211071,1.0,1.0,1.0,3.0,0.06613202169348252,0.06579540281693472,Feynman33,c,0.06579540281693472,0.06613202169348252,0.06724620705380269
1.0,1.0104793288539864,1.0,1.0,1.0,3.0,0.06613571741941725,0.07014465113804699,Feynman33,c,0.07014465113804699,0.06613571741941725,0.06724937339874267
1.0,1.0119967826332341,1.0,1.0,1.0,3.0,0.0662350345370224,0.06286312083434065,Feynman33,c,0.06286312083434065,0.0662350345370224,0.06733451787605418
1.0,1.0124860147062447,1.0,1.0,1.0,3.0,0.06626705470132387,0.06432988927913888,Feynman33,c,0.06432988927913888,0.06626705470132387,0.06736199077177463
1.0,1.0127949513174734,1.0,1.0,1.0,3.0,0.06628727455524597,0.0721643772529893,Feynman33,c,0.0721643772529893,0.06628727455524597,0.06737934467726496
1.0,1.0132104486506397,1.0,1.0,1.0,3.0,0.06631446879210974,0.07156443221981602,Feynman33,c,0.07156443221981602,0.06631446879210974,0.0674026911624107
