epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise,Predicted
1.0,1.0,1.0,1.000697849898129,1.0,3.0,0.06554122716155449,0.03853800257232037,Feynman33,r,0.03853800257232037,0.06554122716155449,0.06296840945535905
1.0,1.0,1.0,1.000829887054253,1.0,3.0,0.0655585239872895,0.07558352791816475,Feynman33,r,0.07558352791816475,0.0655585239872895,0.06298849372736431
1.0,1.0,1.0,1.0009814297313229,1.0,3.0,0.06557837884277662,0.059642570086054385,Feynman33,r,0.059642570086054385,0.06557837884277662,0.06301154584242498
1.0,1.0,1.0,1.0015459073152324,1.0,3.0,0.06565236215811864,0.06566674681616105,Feynman33,r,0.06566674681616105,0.06565236215811864,0.06309742004081884
1.0,1.0,1.0,1.0019156794352861,1.0,3.0,0.06570084899113725,0.05570935471531789,Feynman33,r,0.05570935471531789,0.06570084899113725,0.06315368042005952
1.0,1.0,1.0,1.002566812640346,1.0,3.0,0.06578627315679852,0.040939455679388795,Feynman33,r,0.040939455679388795,0.06578627315679852,0.06325276266324491
1.0,1.0,1.0,1.003428419243623,1.0,3.0,0.06589939528066753,0.04947329555541855,Feynman33,r,0.04947329555541855,0.06589939528066753,0.06338389820866877
1.0,1.0,1.0,1.0035051865676508,1.0,3.0,0.06590947893715991,0.0552961428691869,Feynman33,r,0.0552961428691869,0.06590947893715991,0.06339558353690217
1.0,1.0,1.0,1.0036820639393895,1.0,3.0,0.06593271533488028,0.0828587012461932,Feynman33,r,0.0828587012461932,0.06593271533488028,0.0634225082551613
1.0,1.0,1.0,1.003733913346589,1.0,3.0,0.06593952757279574,0.04682235763406869,Feynman33,r,0.04682235763406869,0.06593952757279574,0.06343040113801508
1.0,1.0,1.0,1.004230558694963,1.0,3.0,0.06600479718492168,0.001451908119222925,Feynman33,r,0.001451908119222925,0.06600479718492168,0.0635060094199302
1.0,1.0,1.0,1.005353959054364,1.0,3.0,0.06615255466300334,0.042351544591087587,Feynman33,r,0.042351544591087587,0.06615255466300334,0.06367706991897361
