sigma,theta,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise,Predicted
1.0014914775105728,1.0,0.24197018758994085,0.22807551975200463,Feynman2,sigma,0.22807551975200463,0.24197018758994085,0.24743690578427224
1.002366704557845,1.0,0.24196937450374814,0.22434493550120074,Feynman2,sigma,0.22434493550120074,0.24196937450374814,0.24737273497769413
1.0035424926727177,1.0,0.24196770582871918,0.23843738665878506,Feynman2,sigma,0.23843738665878506,0.24196770582871918,0.24728652737726256
1.0036255877625435,1.0,0.24196756298811872,0.2369434106574852,Feynman2,sigma,0.2369434106574852,0.24196756298811872,0.24728043493203572
1.0068064266190668,1.0,0.24195964089474079,0.22348905271006095,Feynman2,sigma,0.22348905271006095,0.24195964089474079,0.24704721959530276
1.0076690231017331,1.0,0.24195667371556398,0.22635261828638667,Feynman2,sigma,0.22635261828638667,0.24195667371556398,0.24698397523767202
1.0095245028927038,1.0,0.24194911885052883,0.2468711656908506,Feynman2,sigma,0.2468711656908506,0.24194911885052883,0.24684793444919614
1.01029922923788,1.0,0.24194549353504508,0.25165650364684455,Feynman2,sigma,0.25165650364684455,0.24194549353504508,0.24679113293460372
1.0117174791822148,1.0,0.2419381429867073,0.2350421361373301,Feynman2,sigma,0.2350421361373301,0.2419381429867073,0.24668714975250994
1.0121840890019558,1.0,0.24193552365890178,0.24876848708150565,Feynman2,sigma,0.24876848708150565,0.24193552365890178,0.24665293896862386
1.01218918830977,1.0,0.24193549448589197,0.23313267488063505,Feynman2,sigma,0.23313267488063505,0.24193549448589197,0.24665256509909658
1.013856699934337,1.0,0.24192532167950226,0.24266796895030235,Feynman2,sigma,0.24266796895030235,0.24192532167950226,0.24653030730857015
1.0140577542339544,1.0,0.24192401013284337,0.2393538500038767,Feynman2,sigma,0.2393538500038767,0.24192401013284337,0.24651556655556192
1.0150407399116073,1.0,0.24191733571457857,0.2391195331428506,Feynman2,sigma,0.2391195331428506,0.24191733571457857,0.24644349688023542
1.016532931844449,1.0,0.24190637594040165,0.2402419753062857,Feynman2,sigma,0.2402419753062857,0.24190637594040165,0.2463340941902221
1.0187921867337368,1.0,0.24188789764576973,0.23144228013336532,Feynman2,sigma,0.23144228013336532,0.24188789764576973,0.24616845423929243
1.019416406507861,1.0,0.24188239490716246,0.2268804272792217,Feynman2,sigma,0.2268804272792217,0.24188239490716246,0.24612268913020532
1.019468211370509,1.0,0.24188193053552398,0.22142720788949694,Feynman2,sigma,0.22142720788949694,0.24188193053552398,0.24611889102671472
1.0205991779670005,1.0,0.2418714998104774,0.2326731631350185,Feynman2,sigma,0.2326731631350185,0.2418714998104774,0.24603597380138487
1.0220014997605884,1.0,0.24185779196652799,0.234789009991547,Feynman2,sigma,0.234789009991547,0.24185779196652799,0.24593316275138075
1.0220497463691267,1.0,0.24185730516051598,0.25318126827272824,Feynman2,sigma,0.25318126827272824,0.24185730516051598,0.24592962557115294
1.0225541168027825,1.0,0.24185215578966388,0.23511629620010782,Feynman2,sigma,0.23511629620010782,0.24185215578966388,0.24589264791784102
1.0241786846936378,1.0,0.24183482431147668,0.23528246954161366,Feynman2,sigma,0.23528246954161366,0.24183482431147668,0.2457735443100227
1.0251670272751348,1.0,0.24182372664588195,0.227840850489703,Feynman2,sigma,0.227840850489703,0.24182372664588195,0.24570108551166922
1.0253694360562955,1.0,0.2418214024595981,0.23945613451828504,Feynman2,sigma,0.23945613451828504,0.2418214024595981,0.24568624628237642
1.0254085279971068,1.0,0.24182095157089972,0.2635478189959504,Feynman2,sigma,0.2635478189959504,0.24182095157089972,0.24568338033050197
1.0260377841326545,1.0,0.24181360427790727,0.23059008968870634,Feynman2,sigma,0.23059008968870634,0.24181360427790727,0.24563724770392706
1.0266110555843602,1.0,0.2418067644109258,0.2280545303966858,Feynman2,sigma,0.2280545303966858,0.2418067644109258,0.24559521964584854
1.0301013074745995,1.0,0.2417621360857153,0.2583048042320166,Feynman2,sigma,0.2583048042320166,0.2417621360857153,0.2453393435955512
1.0301840058621134,1.0,0.24176101690486113,0.23387339892494297,Feynman2,sigma,0.23387339892494297,0.24176101690486113,0.24533328092124235
1.0312294023301452,1.0,0.24174662472655611,0.2542758509437322,Feynman2,sigma,0.2542758509437322,0.24174662472655611,0.24525664253708188
1.0336483580598685,1.0,0.24171159535877834,0.2566717546347731,Feynman2,sigma,0.2566717546347731,0.24171159535877834,0.24507931049463036
1.035010461341683,1.0,0.24169081775693413,0.2554929566750485,Feynman2,sigma,0.2554929566750485,0.24169081775693413,0.24497945719129127
1.0360286846567632,1.0,0.24167479436376105,0.23957985158391049,Feynman2,sigma,0.23957985158391049,0.24167479436376105,0.24490481388242397
1.0367583721683171,1.0,0.24166305435761928,0.2256685608069079,Feynman2,sigma,0.2256685608069079,0.24166305435761928,0.24485132280844404
1.0371474100474756,1.0,0.24165670765075484,0.24393546377969325,Feynman2,sigma,0.24393546377969325,0.24165670765075484,0.24482280382462931
1.037235021146048,1.0,0.24165527000346346,0.26495465914719357,Feynman2,sigma,0.26495465914719357,0.24165527000346346,0.24481638138077746
1.0380916586352653,1.0,0.24164105127276875,0.23855755104316206,Feynman2,sigma,0.23855755104316206,0.24164105127276875,0.2447535847523777
1.0389484999297085,1.0,0.24162653637472656,0.22013004041805886,Feynman2,sigma,0.22013004041805886,0.24162653637472656,0.2446907737011298
1.0413351877120713,1.0,0.2415845729372466,0.2629994244084601,Feynman2,sigma,0.2629994244084601,0.2415845729372466,0.24451581954254897
1.0415829083811656,1.0,0.24158008898789093,0.21331213055724718,Feynman2,sigma,0.21331213055724718,0.24158008898789093,0.24449766083058355
1.0423099117275596,1.0,0.2415667909497998,0.2286533467552263,Feynman2,sigma,0.2286533467552263,0.2415667909497998,0.24444436944946546
1.0424548951405272,1.0,0.2415641142816559,0.24207772647886525,Feynman2,sigma,0.24207772647886525,0.2415641142816559,0.24443374180854713
