epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise,Predicted
1.0,1.0,1.0010866419540316,1.0,1.0,3.0,0.0655921653315215,0.06655362548489477,Feynman33,Ef,0.06655362548489477,0.0,0.0655921653315215,0.06514942113783648
1.0,1.0,1.0011377628875284,1.0,1.0,3.0,0.0655988644886092,0.038971799136508216,Feynman33,Ef,0.038971799136508216,0.0,0.0655988644886092,0.06515676905647885
1.0,1.0,1.001229255388549,1.0,1.0,3.0,0.06561085500309517,0.045677538792648645,Feynman33,Ef,0.045677538792648645,0.0,0.06561085500309517,0.06516992006431332
1.0,1.0,1.0014550259561728,1.0,1.0,3.0,0.06564044796597217,0.08506310652273315,Feynman33,Ef,0.08506310652273315,0.0,0.06564044796597217,0.06520237334570164
1.0,1.0,1.0023448327564004,1.0,1.0,3.0,0.06575714469885525,0.06927603696383222,Feynman33,Ef,0.06927603696383222,0.0,0.06575714469885525,0.06533029663360689
1.0,1.0,1.0040966890736636,1.0,1.0,3.0,0.06598720073123944,0.062159523213734184,Feynman33,Ef,0.062159523213734184,0.0,0.06598720073123944,0.0655822392322554
1.0,1.0,1.0046258623256978,1.0,1.0,3.0,0.0660567714474854,0.08864134781555935,Feynman33,Ef,0.08864134781555935,0.0,0.0660567714474854,0.06565836484416598
1.0,1.0,1.0048427378147742,1.0,1.0,3.0,0.0660852947843574,0.043384672386249615,Feynman33,Ef,0.043384672386249615,0.0,0.0660852947843574,0.06568956710607848
1.0,1.0,1.0057386448125059,1.0,1.0,3.0,0.06620318919640088,0.07761566887008135,Feynman33,Ef,0.07761566887008135,0.0,0.06620318919640088,0.0658184818098399
1.0,1.0,1.007775009145171,1.0,1.0,3.0,0.06647154976041834,0.05752478101053762,Feynman33,Ef,0.05752478101053762,0.0,0.06647154976041834,0.06611161476269527
1.0,1.0,1.0079336465681283,1.0,1.0,3.0,0.06649247845027732,0.05496594959648441,Feynman33,Ef,0.05496594959648441,0.0,0.06649247845027732,0.06613445721163524
1.0,1.0,1.009955715342349,1.0,1.0,3.0,0.06675953418522154,0.10110174215970374,Feynman33,Ef,0.10110174215970374,0.0,0.06675953418522154,0.06642570401365802
1.0,1.0,1.0102646236226782,1.0,1.0,3.0,0.06680037899936617,0.0415774900407407,Feynman33,Ef,0.0415774900407407,0.0,0.06680037899936617,0.0664702114516481
1.0,1.0,1.0106168331792977,1.0,1.0,3.0,0.06684696448314413,0.057195918895052975,Feynman33,Ef,0.057195918895052975,0.0,0.06684696448314413,0.06652096232223488
1.0,1.0,1.0107636762892478,1.0,1.0,3.0,0.06686639168635125,0.04428868377995181,Feynman33,Ef,0.04428868377995181,0.0,0.06686639168635125,0.06654212280951347
1.0,1.0,1.0113957553145343,1.0,1.0,3.0,0.06695004736134366,0.07657340354847433,Feynman33,Ef,0.07657340354847433,0.0,0.06695004736134366,0.0666332168543515
1.0,1.0,1.0114031540971398,1.0,1.0,3.0,0.06695102690007533,0.07690271619510475,Feynman33,Ef,0.07690271619510475,0.0,0.06695102690007533,0.06663428324696331
1.0,1.0,1.0115393116037907,1.0,1.0,3.0,0.0669690543275252,0.049435870582411626,Feynman33,Ef,0.049435870582411626,0.0,0.0669690543275252,0.06665390812889545
1.0,1.0,1.0117881973863045,1.0,1.0,3.0,0.06700201339457841,0.05985211027680766,Feynman33,Ef,0.05985211027680766,0.0,0.06700201339457841,0.06668978285903293
1.0,1.0,1.0119968617722326,1.0,1.0,3.0,0.0670296523326168,0.052303211203656275,Feynman33,Ef,0.052303211203656275,0.0,0.0670296523326168,0.06671986192603241
1.0,1.0,1.012121028688796,1.0,1.0,3.0,0.06704610174298495,0.05015272849566321,Feynman33,Ef,0.05015272849566321,0.0,0.06704610174298495,0.06673776146877841
1.0,1.0,1.0123565649905855,1.0,1.0,3.0,0.06707731071484486,0.08968874610689835,Feynman33,Ef,0.08968874610689835,0.0,0.06707731071484486,0.06677171739218593
