x,u,c,t,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise,Predicted
5.0,1.0,3.0,1.0005590523550985,4.242047722552292,4.158573604249458,Feynman17,t,4.158573604249458,0.0,4.242047722552292,4.235583137024356
5.0,1.0,3.0,1.0010842275008058,4.241490690192032,4.172663069948456,Feynman17,t,4.172663069948456,0.0,4.241490690192032,4.235108324874183
5.0,1.0,3.0,1.0014805244876963,4.241070353761841,4.336979698511559,Feynman17,t,4.336979698511559,0.0,4.241070353761841,4.23474979969543
5.0,1.0,3.0,1.0019768489711836,4.240543922149927,4.174402650902381,Feynman17,t,4.174402650902381,0.0,4.240543922149927,4.2343004996995175
5.0,1.0,3.0,1.0024933117631938,4.239996130636236,4.182165239342223,Feynman17,t,4.182165239342223,0.0,4.239996130636236,4.233832638011068
5.0,1.0,3.0,1.0030872940842528,4.239366117245547,4.226278246344403,Feynman17,t,4.226278246344403,0.0,4.239366117245547,4.233294134531821
5.0,1.0,3.0,1.0036054795978107,4.238816498509722,4.210338669833987,Feynman17,t,4.210338669833987,0.0,4.238816498509722,4.232823984509415
5.0,1.0,3.0,1.0041194982173482,4.238271299432426,4.413181274458566,Feynman17,t,4.413181274458566,0.0,4.238271299432426,4.232357280779036
5.0,1.0,3.0,1.0042324417516144,4.2381515047239695,4.278830843550282,Feynman17,t,4.278830843550282,0.0,4.2381515047239695,4.232254689018107
5.0,1.0,3.0,1.0044236970656053,4.2379486478297785,4.176292056612427,Feynman17,t,4.176292056612427,0.0,4.2379486478297785,4.232080926517025
5.0,1.0,3.0,1.0048632896749998,4.237482389457185,4.179524368357777,Feynman17,t,4.179524368357777,0.0,4.237482389457185,4.2316813662132216
5.0,1.0,3.0,1.0049428629051533,4.237397989301221,4.201200270985207,Feynman17,t,4.201200270985207,0.0,4.237397989301221,4.231609013532422
5.0,1.0,3.0,1.0051088600087792,4.237221922784775,4.111630769312611,Feynman17,t,4.111630769312611,0.0,4.237221922784775,4.231458053592318
5.0,1.0,3.0,1.0057353589546871,4.236557420305188,4.20524604726534,Feynman17,t,4.20524604726534,0.0,4.236557420305188,4.230887996125343
5.0,1.0,3.0,1.0057912458241984,4.236498143328571,4.333562588872386,Feynman17,t,4.333562588872386,0.0,4.236498143328571,4.23083712024617
