epsilon,p_d,r,x,y,z,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise,Predicted
1.0,1.0,1.0,1.0,1.0,1.002180164290254,0.33835468261482177,0.2735143753149982,Feynman56,z,0.2735143753149982,0.33835468261482177,0.3413891519258208
1.0,1.0,1.0,1.0,1.0,1.0071484506935702,0.3400320686069145,0.3537211816414663,Feynman56,z,0.3537211816414663,0.3400320686069145,0.342892125881516
1.0,1.0,1.0,1.0,1.0,1.0076024832466386,0.3401853584502622,0.3423174088685277,Feynman56,z,0.3423174088685277,0.3401853584502622,0.34302958103417663
1.0,1.0,1.0,1.0,1.0,1.0078326932515695,0.3402630816341054,0.4314093850535577,Feynman56,z,0.4314093850535577,0.3402630816341054,0.34309928214183233
1.0,1.0,1.0,1.0,1.0,1.0083304056966076,0.34043111862223874,0.39573045823349956,Feynman56,z,0.39573045823349956,0.34043111862223874,0.3432499907519967
1.0,1.0,1.0,1.0,1.0,1.0102184935719902,0.3410685722424433,0.37041127352556324,Feynman56,z,0.37041127352556324,0.3410685722424433,0.3438218986482353
1.0,1.0,1.0,1.0,1.0,1.0132172975140779,0.34208102428669995,0.24926334902837025,Feynman56,z,0.24926334902837025,0.34208102428669995,0.34473086321328594
1.0,1.0,1.0,1.0,1.0,1.0134356198465788,0.34215473397099944,0.28500101389183874,Feynman56,z,0.28500101389183874,0.34215473397099944,0.3447970682192205
1.0,1.0,1.0,1.0,1.0,1.0136288116658632,0.3422199591261431,0.34468592612394605,Feynman56,z,0.34468592612394605,0.3422199591261431,0.34485565587946376
1.0,1.0,1.0,1.0,1.0,1.015236649660387,0.3427627951687208,0.40314100984952117,Feynman56,z,0.40314100984952117,0.3427627951687208,0.34534337296758355
1.0,1.0,1.0,1.0,1.0,1.0154989946795134,0.3428513677316641,0.3999674558063754,Feynman56,z,0.3999674558063754,0.3428513677316641,0.34542297255717125
1.0,1.0,1.0,1.0,1.0,1.0180501935994934,0.34371269998669673,0.21115617072449006,Feynman56,z,0.21115617072449006,0.34371269998669673,0.34619734701905075
1.0,1.0,1.0,1.0,1.0,1.019521156427589,0.3442093244246699,0.30829666645404413,Feynman56,z,0.30829666645404413,0.3442093244246699,0.3466440811434037
1.0,1.0,1.0,1.0,1.0,1.023028111972203,0.34539333791099,0.329377467588677,Feynman56,z,0.329377467588677,0.34539333791099,0.347709878777263
1.0,1.0,1.0,1.0,1.0,1.0239330246687728,0.3456988532855223,0.2639091617537499,Feynman56,z,0.2639091617537499,0.3456988532855223,0.3479850568401747
1.0,1.0,1.0,1.0,1.0,1.0246094914753527,0.34592724107426076,0.38502051867273424,Feynman56,z,0.38502051867273424,0.34592724107426076,0.34819081050108885
1.0,1.0,1.0,1.0,1.0,1.025200785481475,0.34612687293977,0.40010293457302243,Feynman56,z,0.40010293457302243,0.34612687293977,0.3483706892306356
1.0,1.0,1.0,1.0,1.0,1.0258505885510907,0.34634625855446893,0.20837960585054477,Feynman56,z,0.20837960585054477,0.34634625855446893,0.34856840062972283
1.0,1.0,1.0,1.0,1.0,1.0275156903107943,0.3469084279103401,0.32248374207739006,Feynman56,z,0.32248374207739006,0.3469084279103401,0.3490751904502054
1.0,1.0,1.0,1.0,1.0,1.028241189977008,0.34715337010541214,0.45598055904306223,Feynman56,z,0.45598055904306223,0.34715337010541214,0.3492960752235296
1.0,1.0,1.0,1.0,1.0,1.029684146311899,0.3476405390298389,0.44396624858885847,Feynman56,z,0.44396624858885847,0.3476405390298389,0.3497355256323297
1.0,1.0,1.0,1.0,1.0,1.0303498399029598,0.34786528958043633,0.2734689510119701,Feynman56,z,0.2734689510119701,0.34786528958043633,0.3499383198193601
1.0,1.0,1.0,1.0,1.0,1.030823163129071,0.34802509231416784,0.2824460245445823,Feynman56,z,0.2824460245445823,0.34802509231416784,0.35008253337775513
1.0,1.0,1.0,1.0,1.0,1.0312547025458507,0.3481707880559147,0.3931108545421953,Feynman56,z,0.3931108545421953,0.3481707880559147,0.35021403225965075
1.0,1.0,1.0,1.0,1.0,1.0315478077394398,0.3482697458264667,0.3975395417145168,Feynman56,z,0.3975395417145168,0.3482697458264667,0.3503033561804513
1.0,1.0,1.0,1.0,1.0,1.0318069029493813,0.34835722119332235,0.37702108915588817,Feynman56,z,0.37702108915588817,0.34835722119332235,0.3503823214558076
1.0,1.0,1.0,1.0,1.0,1.03222163218114,0.3484972415036247,0.32497182913638867,Feynman56,z,0.32497182913638867,0.3484972415036247,0.35050873135003685
1.0,1.0,1.0,1.0,1.0,1.0341387482175919,0.34914449557146876,0.29126502509632124,Feynman56,z,0.29126502509632124,0.34914449557146876,0.35109325474439895
1.0,1.0,1.0,1.0,1.0,1.034319389635444,0.34920548347741853,0.5117700614471934,Feynman56,z,0.5117700614471934,0.34920548347741853,0.3511483474389203
1.0,1.0,1.0,1.0,1.0,1.0347722137051028,0.34935836531426695,0.43572439368719174,Feynman56,z,0.43572439368719174,0.34935836531426695,0.35128646323321305
1.0,1.0,1.0,1.0,1.0,1.0354568768392203,0.34958952033578594,0.2633348076987847,Feynman56,z,0.2633348076987847,0.34958952033578594,0.3514953242940396
1.0,1.0,1.0,1.0,1.0,1.035507871282034,0.3496067370091229,0.42853203947068264,Feynman56,z,0.42853203947068264,0.3496067370091229,0.3515108820336597
1.0,1.0,1.0,1.0,1.0,1.0356335960954273,0.3496491840469393,0.3812104147284349,Feynman56,z,0.3812104147284349,0.3496491840469393,0.35154923994937015
1.0,1.0,1.0,1.0,1.0,1.0368891579817388,0.35007308511651103,0.29166808955045204,Feynman56,z,0.29166808955045204,0.35007308511651103,0.35193237598527893
1.0,1.0,1.0,1.0,1.0,1.0377479848858404,0.35036304106945504,0.40265993738317135,Feynman56,z,0.40265993738317135,0.35036304106945504,0.3521945225701972
1.0,1.0,1.0,1.0,1.0,1.0396410417939912,0.3510021723276383,0.42015176158802764,Feynman56,z,0.42015176158802764,0.3510021723276383,0.3527725693105497
1.0,1.0,1.0,1.0,1.0,1.0402798241129212,0.35121783713171534,0.3563733012101445,Feynman56,z,0.3563733012101445,0.35121783713171534,0.3529676884338655
1.0,1.0,1.0,1.0,1.0,1.0417309126631258,0.35170775164344203,0.3607463484652056,Feynman56,z,0.3607463484652056,0.35170775164344203,0.3534110546127892
1.0,1.0,1.0,1.0,1.0,1.0431700025249389,0.35219361517456954,0.39348690228834104,Feynman56,z,0.39348690228834104,0.35219361517456954,0.3538509248896195
1.0,1.0,1.0,1.0,1.0,1.0437869007453389,0.35240189149953244,0.4514621520762819,Feynman56,z,0.4514621520762819,0.35240189149953244,0.3540395370112506
1.0,1.0,1.0,1.0,1.0,1.0440055003487383,0.35247569479564966,0.40702133405315083,Feynman56,z,0.40702133405315083,0.35247569479564966,0.3541063797015832
1.0,1.0,1.0,1.0,1.0,1.0447596118509912,0.3527302968792797,0.5019818445248904,Feynman56,z,0.5019818445248904,0.3527302968792797,0.3543369994587353
1.0,1.0,1.0,1.0,1.0,1.0452764234648142,0.3529047821023938,0.32242209939846767,Feynman56,z,0.32242209939846767,0.3529047821023938,0.354495075789795
1.0,1.0,1.0,1.0,1.0,1.045900240538432,0.3531153943610221,0.31424622925539947,Feynman56,z,0.31424622925539947,0.3531153943610221,0.3546859107233201
1.0,1.0,1.0,1.0,1.0,1.0497977266141245,0.35443125822575,0.42248556668900816,Feynman56,z,0.42248556668900816,0.35443125822575,0.35587892721189107
1.0,1.0,1.0,1.0,1.0,1.0501815610651632,0.35456084788286507,0.43789048776302064,Feynman56,z,0.43789048776302064,0.35456084788286507,0.35599648534621087
1.0,1.0,1.0,1.0,1.0,1.0510262961270795,0.35484604616751747,0.3028497607247831,Feynman56,z,0.3028497607247831,0.35484604616751747,0.3562552470200122
1.0,1.0,1.0,1.0,1.0,1.0520684836480452,0.3551979080786252,0.3440448954410275,Feynman56,z,0.3440448954410275,0.3551979080786252,0.35657457265381765
1.0,1.0,1.0,1.0,1.0,1.0530022885921768,0.3555131780138665,0.3696777513886288,Feynman56,z,0.3696777513886288,0.3555131780138665,0.3568607646979593
1.0,1.0,1.0,1.0,1.0,1.0533243927441498,0.3556219263726877,0.3277197960173328,Feynman56,z,0.3277197960173328,0.3556219263726877,0.3569594993874262
1.0,1.0,1.0,1.0,1.0,1.0542546253080602,0.35593599020585365,0.34017646280296193,Feynman56,z,0.34017646280296193,0.35593599020585365,0.35724469101220396
1.0,1.0,1.0,1.0,1.0,1.0547051771964038,0.3560881049119853,0.49947284106309103,Feynman56,z,0.49947284106309103,0.3560881049119853,0.35738284681700594
1.0,1.0,1.0,1.0,1.0,1.0557823200964276,0.3564517684098819,0.3205859221041183,Feynman56,z,0.3205859221041183,0.3564517684098819,0.3577132050010468
1.0,1.0,1.0,1.0,1.0,1.0567199873310873,0.35676834232631566,0.2615239173096092,Feynman56,z,0.2615239173096092,0.35676834232631566,0.35800086248022006
1.0,1.0,1.0,1.0,1.0,1.0569656499600235,0.35685128260372867,0.393035759286744,Feynman56,z,0.393035759286744,0.35685128260372867,0.35807623857113036
1.0,1.0,1.0,1.0,1.0,1.0589111290206696,0.3575081125566193,0.3590978002724739,Feynman56,z,0.3590978002724739,0.3575081125566193,0.3586733371961496
