omega,T,h,kb,c,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise,Predicted
1.0,1.0003881816680247,1.0,1.0,1.0,0.09351133256800871,0.10308768548411212,Feynman44,T,0.10308768548411212,0.09351133256800871,0.09550412418981334
1.0,1.0004453816236913,1.0,1.0,1.0,0.09351711592724571,0.11702087763045226,Feynman44,T,0.11702087763045226,0.09351711592724571,0.09550986590738085
1.0,1.0009453201453837,1.0,1.0,1.0,0.09356766364929314,0.12347993186271167,Feynman44,T,0.12347993186271167,0.09356766364929314,0.09556004961397836
1.0,1.0013358091954383,1.0,1.0,1.0,0.0936071452417114,0.06970811857985315,Feynman44,T,0.06970811857985315,0.0936071452417114,0.09559924680936593
1.0,1.0029839170437285,1.0,1.0,1.0,0.09377378295086523,0.10051083833521546,Feynman44,T,0.10051083833521546,0.09377378295086523,0.0957646834722709
1.0,1.0056017994393747,1.0,1.0,1.0,0.09403847546699123,0.07476071157045384,Feynman44,T,0.07476071157045384,0.09403847546699123,0.09602746586710126
1.0,1.0081369824558237,1.0,1.0,1.0,0.09429480903956215,0.14853461758661807,Feynman44,T,0.14853461758661807,0.09429480903956215,0.09628194691839512
1.0,1.0090851209117297,1.0,1.0,1.0,0.09439067646303805,0.178644171968172,Feynman44,T,0.178644171968172,0.09439067646303805,0.0963771208247442
1.0,1.0112434138084074,1.0,1.0,1.0,0.09460890545284655,0.12502026427368249,Feynman44,T,0.12502026427368249,0.09460890545284655,0.09659376973789367
1.0,1.0152923593418568,1.0,1.0,1.0,0.09501830700586159,0.1593379203068623,Feynman44,T,0.1593379203068623,0.09501830700586159,0.09700020190021783
1.0,1.018008733691623,1.0,1.0,1.0,0.09529297186776425,0.11896802227905917,Feynman44,T,0.11896802227905917,0.09529297186776425,0.09727287089295382
1.0,1.0183658650835596,1.0,1.0,1.0,0.09532908325602858,0.08598012336492239,Feynman44,T,0.08598012336492239,0.09532908325602858,0.09730871965470707
1.0,1.0192223854247966,1.0,1.0,1.0,0.09541569063431538,0.12099540537431835,Feynman44,T,0.12099540537431835,0.09541569063431538,0.09739469695701382
1.0,1.019818483791175,1.0,1.0,1.0,0.09547596552064012,0.04354050851706533,Feynman44,T,0.04354050851706533,0.09547596552064012,0.09745453316519152
1.0,1.0202133422155857,1.0,1.0,1.0,0.09551589197391742,0.09405364163279079,Feynman44,T,0.09405364163279079,0.09551589197391742,0.09749416895722691
1.0,1.0204827910303536,1.0,1.0,1.0,0.09554313756132553,0.10576497306558966,Feynman44,T,0.10576497306558966,0.09554313756132553,0.09752121616332843
1.0,1.0206547853364425,1.0,1.0,1.0,0.09556052895349741,0.13866430223662718,Feynman44,T,0.13866430223662718,0.09556052895349741,0.09753848090969208
1.0,1.0225313203405917,1.0,1.0,1.0,0.09575027761073465,0.1078930124332373,Feynman44,T,0.1078930124332373,0.09575027761073465,0.09772684703425912
1.0,1.0227055847577988,1.0,1.0,1.0,0.09576789869062537,0.10677146777003764,Feynman44,T,0.10677146777003764,0.09576789869062537,0.09774433965381739
1.0,1.0237472831128591,1.0,1.0,1.0,0.09587323226486481,0.09967765770318102,Feynman44,T,0.09967765770318102,0.09587323226486481,0.0978489050797975
1.0,1.0240267348166276,1.0,1.0,1.0,0.09590148969963617,0.1490282817672336,Feynman44,T,0.1490282817672336,0.09590148969963617,0.09787695637343871
1.0,1.0352415528155188,1.0,1.0,1.0,0.09703552848252661,0.12824632015060183,Feynman44,T,0.12824632015060183,0.09703552848252661,0.09900269705914147
1.0,1.0392859058465858,1.0,1.0,1.0,0.09744450410946853,0.03649168609074443,Feynman44,T,0.03649168609074443,0.09744450410946853,0.09940866822613377
1.0,1.0394065601156814,1.0,1.0,1.0,0.09745670508271341,0.07188730344826301,Feynman44,T,0.07188730344826301,0.09745670508271341,0.09942077947212044
1.0,1.044148961899428,1.0,1.0,1.0,0.09793627736895552,0.183655393899612,Feynman44,T,0.183655393899612,0.09793627736895552,0.0998968206017532
1.0,1.0447463063437548,1.0,1.0,1.0,0.09799668403640904,0.13371056957653754,Feynman44,T,0.13371056957653754,0.09799668403640904,0.09995678189076677
1.0,1.046332545934464,1.0,1.0,1.0,0.09815709372156707,0.1332826345231433,Feynman44,T,0.1332826345231433,0.09815709372156707,0.10011600823234469
1.0,1.0466075689738203,1.0,1.0,1.0,0.09818490573108361,0.15516420447652,Feynman44,T,0.15516420447652,0.09818490573108361,0.1001436149776676
1.0,1.048286049414005,1.0,1.0,1.0,0.09835464453443488,0.03733904023418513,Feynman44,T,0.03733904023418513,0.09835464453443488,0.10031210043308691
1.0,1.0486490043563301,1.0,1.0,1.0,0.09839134902426025,0.08169036596711195,Feynman44,T,0.08169036596711195,0.09839134902426025,0.10034853376128279
1.0,1.0564928069603594,1.0,1.0,1.0,0.09918457989694988,0.0659554485829028,Feynman44,T,0.0659554485829028,0.09918457989694988,0.10113589274478833
1.0,1.059562335634559,1.0,1.0,1.0,0.09949500237902836,0.10910320684083985,Feynman44,T,0.10910320684083985,0.09949500237902836,0.10144401128082514
1.0,1.0595684425452783,1.0,1.0,1.0,0.09949561997637212,0.06073316584090849,Feynman44,T,0.06073316584090849,0.09949561997637212,0.1014446242910264
1.0,1.062348003197629,1.0,1.0,1.0,0.09977672081687262,0.023522094311542535,Feynman44,T,0.023522094311542535,0.09977672081687262,0.10172363590800573
1.0,1.0642705356550244,1.0,1.0,1.0,0.09997115081251792,0.11695552858728112,Feynman44,T,0.11695552858728112,0.09997115081251792,0.10191661924479373
1.0,1.065779595337001,1.0,1.0,1.0,0.1001237663012026,0.11111863536657064,Feynman44,T,0.11111863536657064,0.1001237663012026,0.10206809828571448
1.0,1.0666019440220373,1.0,1.0,1.0,0.10020693309590473,0.07223330179888462,Feynman44,T,0.07223330179888462,0.10020693309590473,0.1021506454451036
1.0,1.069992416662859,1.0,1.0,1.0,0.10054982511723227,0.08984883889570794,Feynman44,T,0.08984883889570794,0.10054982511723227,0.10249098025747025
1.0,1.0727514021096773,1.0,1.0,1.0,0.10082885527724217,0.14068749347803694,Feynman44,T,0.14068749347803694,0.10082885527724217,0.10276792654004571
1.0,1.0733912822386387,1.0,1.0,1.0,0.10089356996948183,0.13766031090580214,Feynman44,T,0.13766031090580214,0.10089356996948183,0.10283215755046327
1.0,1.0767481130637355,1.0,1.0,1.0,0.10123306754339412,0.08264944704791652,Feynman44,T,0.08264944704791652,0.10123306754339412,0.10316911540536633
1.0,1.0779825120525022,1.0,1.0,1.0,0.10135791110639297,0.10518868163630585,Feynman44,T,0.10518868163630585,0.10135791110639297,0.10329302407307005
1.0,1.08067973177834,1.0,1.0,1.0,0.10163070195513783,0.07672013589325656,Feynman44,T,0.07672013589325656,0.10163070195513783,0.10356377032748401
1.0,1.0808252318287743,1.0,1.0,1.0,0.10164541757914083,0.10641627103352878,Feynman44,T,0.10641627103352878,0.10164541757914083,0.10357837558685111
1.0,1.0863829536170218,1.0,1.0,1.0,0.10220752130044536,0.1441914692470638,Feynman44,T,0.1441914692470638,0.10220752130044536,0.1041362583363073
1.0,1.0877593094800888,1.0,1.0,1.0,0.1023467264720473,0.11060176905165348,Feynman44,T,0.11060176905165348,0.1023467264720473,0.1042744166000855
1.0,1.0892797778385446,1.0,1.0,1.0,0.10250050796818776,0.09280287037522512,Feynman44,T,0.09280287037522512,0.10250050796818776,0.10442704084076145
1.0,1.0898957291528921,1.0,1.0,1.0,0.10256280603891424,0.08546825596576202,Feynman44,T,0.08546825596576202,0.10256280603891424,0.10448886988252482
1.0,1.090204631784598,1.0,1.0,1.0,0.10259404887672575,0.09154432479227723,Feynman44,T,0.09154432479227723,0.10259404887672575,0.10451987745288094
1.0,1.0964615389791015,1.0,1.0,1.0,0.1032268878215961,0.11707117752595907,Feynman44,T,0.11707117752595907,0.1032268878215961,0.10514794426119474
1.0,1.1009037123498255,1.0,1.0,1.0,0.10367618784298357,0.12410421928669235,Feynman44,T,0.12410421928669235,0.10367618784298357,0.10559384853347531
1.0,1.1024169135205022,1.0,1.0,1.0,0.10382924079297425,0.06335863079205517,Feynman44,T,0.06335863079205517,0.10382924079297425,0.10574574329540673
1.0,1.1045827182695058,1.0,1.0,1.0,0.1040483026942922,0.10060535652181085,Feynman44,T,0.10060535652181085,0.1040483026942922,0.10596314624423382
1.0,1.106941053093752,1.0,1.0,1.0,0.10428683987991692,0.13060310694476066,Feynman44,T,0.13060310694476066,0.10428683987991692,0.10619987531467343
1.0,1.1079673106776546,1.0,1.0,1.0,0.10439064273430251,0.09074496600483321,Feynman44,T,0.09074496600483321,0.10439064273430251,0.10630289079887273
1.0,1.1089771810190934,1.0,1.0,1.0,0.10449278839128823,0.03341722268941112,Feynman44,T,0.03341722268941112,0.10449278839128823,0.10640426133568735
1.0,1.1094299798184233,1.0,1.0,1.0,0.1045385878703527,0.16492793021594765,Feynman44,T,0.16492793021594765,0.1045385878703527,0.10644971316793737
1.0,1.111385409929627,1.0,1.0,1.0,0.10473637552660141,0.06883263259228309,Feynman44,T,0.06883263259228309,0.10473637552660141,0.10664599876213723
1.0,1.1113897205869092,1.0,1.0,1.0,0.10473681154186412,0.05164415339310749,Feynman44,T,0.05164415339310749,0.10473681154186412,0.10664643146485622
1.0,1.1152221596792278,1.0,1.0,1.0,0.10512445816959073,0.0912446132004909,Feynman44,T,0.0912446132004909,0.10512445816959073,0.10703113075935985
1.0,1.1165144742729152,1.0,1.0,1.0,0.10525517526563129,0.08056767120638941,Feynman44,T,0.08056767120638941,0.10525517526563129,0.10716085298073195
1.0,1.1211592442606375,1.0,1.0,1.0,0.10572499607878169,0.10350465803543056,Feynman44,T,0.10350465803543056,0.10572499607878169,0.10762709385065379
1.0,1.1217328179042991,1.0,1.0,1.0,0.10578301379539866,0.08382137600372228,Feynman44,T,0.08382137600372228,0.10578301379539866,0.10768466903203318
1.0,1.1219782619189322,1.0,1.0,1.0,0.10580784080564391,0.09936786345526728,Feynman44,T,0.09936786345526728,0.10580784080564391,0.10770930664189629
1.0,1.1227971104492322,1.0,1.0,1.0,0.10589066862766588,0.09402469967402857,Feynman44,T,0.09402469967402857,0.10589066862766588,0.10779150245610498
1.0,1.1255436820389861,1.0,1.0,1.0,0.1061684901556941,0.12448552640492369,Feynman44,T,0.12448552640492369,0.1061684901556941,0.1080672026371571
1.0,1.127972349542528,1.0,1.0,1.0,0.10641415689475246,0.09092246896704412,Feynman44,T,0.09092246896704412,0.10641415689475246,0.10831099168410929
1.0,1.1288019260613882,1.0,1.0,1.0,0.10649807136045467,0.14146034532413748,Feynman44,T,0.14146034532413748,0.10649807136045467,0.10839426437111795
1.0,1.12886421971411,1.0,1.0,1.0,0.10650437258199406,0.12397467747360082,Feynman44,T,0.12397467747360082,0.10650437258199406,0.10840051739266271
1.0,1.1288678314084422,1.0,1.0,1.0,0.10650473791758334,0.15877470621457096,Feynman44,T,0.15877470621457096,0.10650473791758334,0.10840087993365183
1.0,1.1291577466587888,1.0,1.0,1.0,0.10653406387782569,0.13950469806750068,Feynman44,T,0.13950469806750068,0.10653406387782569,0.10842998155520288
1.0,1.1294450810489298,1.0,1.0,1.0,0.10656312879945677,0.12229365148948503,Feynman44,T,0.12229365148948503,0.10656312879945677,0.10845882411064008
1.0,1.1341659030451208,1.0,1.0,1.0,0.10704066065281524,0.14275278724935445,Feynman44,T,0.14275278724935445,0.10704066065281524,0.10893269906180846
1.0,1.1361900027527323,1.0,1.0,1.0,0.10724540921944604,0.11361714511243719,Feynman44,T,0.11361714511243719,0.10724540921944604,0.10913587769267473
1.0,1.1373668402078962,1.0,1.0,1.0,0.10736445320312904,0.08680811134767549,Feynman44,T,0.08680811134767549,0.10736445320312904,0.10925400834698551
1.0,1.1380540747209182,1.0,1.0,1.0,0.10743397117488564,0.0999688609900077,Feynman44,T,0.0999688609900077,0.10743397117488564,0.10932299277837287
1.0,1.1417733638892362,1.0,1.0,1.0,0.1078102023757934,0.0767966886858616,Feynman44,T,0.0767966886858616,0.1078102023757934,0.10969633411021558
1.0,1.1450310904127243,1.0,1.0,1.0,0.10813974666099983,0.04371112263415759,Feynman44,T,0.04371112263415759,0.10813974666099983,0.11002334389718055
1.0,1.1452484983134634,1.0,1.0,1.0,0.10816173926278237,0.16163100138196626,Feynman44,T,0.16163100138196626,0.10816173926278237,0.11004516724876603
1.0,1.1454922635980438,1.0,1.0,1.0,0.10818639814724369,0.14949921929899918,Feynman44,T,0.14949921929899918,0.10818639814724369,0.11006963634805612
1.0,1.1470021421879983,1.0,1.0,1.0,0.10833913529079435,0.1102364648189346,Feynman44,T,0.1102364648189346,0.10833913529079435,0.11022119758940954
1.0,1.1470397710157325,1.0,1.0,1.0,0.10834294177706066,0.13712709257897676,Feynman44,T,0.13712709257897676,0.10834294177706066,0.11022497476187865
1.0,1.1481770709136527,1.0,1.0,1.0,0.1084579898348425,0.15652275930853188,Feynman44,T,0.15652275930853188,0.1084579898348425,0.11033913664578172
1.0,1.1607860947869284,1.0,1.0,1.0,0.10973352958932198,0.19835468079698942,Feynman44,T,0.19835468079698942,0.10973352958932198,0.11160482735858267
