x,u,c,t,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise,Predicted
5.0,1.0,3.000567107725794,1.0,4.24254046766034,4.2354961944984995,Feynman17,c,4.2354961944984995,4.24254046766034,4.142693801944974
5.0,1.0,3.018982785878018,1.0,4.239320458374769,4.269815182444142,Feynman17,c,4.269815182444142,4.239320458374769,4.142221195738173
5.0,1.0,3.020131819497734,1.0,4.239121738565765,4.237838826296891,Feynman17,c,4.237838826296891,4.239121738565765,4.14219174174702
5.0,1.0,3.0357134411586078,1.0,4.236451922537958,4.233509178293184,Feynman17,c,4.233509178293184,4.236451922537958,4.141792720437141
5.0,1.0,3.0358098589754463,1.0,4.236435545376585,4.233907777519703,Feynman17,c,4.233907777519703,4.236435545376585,4.141790253605987
5.0,1.0,3.038713091824862,1.0,4.23594323199416,4.231799321332239,Feynman17,c,4.231799321332239,4.23594323199416,4.141715988089803
5.0,1.0,3.03955290829828,1.0,4.235801115710634,4.238270733446802,Feynman17,c,4.238270733446802,4.235801115710634,4.14169451008748
5.0,1.0,3.0438074503826122,1.0,4.235083174508515,4.230928009762899,Feynman17,c,4.230928009762899,4.235083174508515,4.1415857343923
5.0,1.0,3.0539646418861017,1.0,4.233382752562192,4.229472699168931,Feynman17,c,4.229472699168931,4.233382752562192,4.1413262665508634
5.0,1.0,3.0691225924448364,1.0,4.230880207814455,4.210810107643067,Feynman17,c,4.210810107643067,4.230880207814455,4.140939631187933
5.0,1.0,3.0780568075657637,1.0,4.229424518862057,4.214734527634232,Feynman17,c,4.214734527634232,4.229424518862057,4.140712069293074
5.0,1.0,3.0800181662917208,1.0,4.229106840882995,4.243554910163479,Feynman17,c,4.243554910163479,4.229106840882995,4.140662144007606
5.0,1.0,3.1024914543868176,1.0,4.225514760234928,4.219033030519829,Feynman17,c,4.219033030519829,4.225514760234928,4.140090924751075
5.0,1.0,3.103639393869522,1.0,4.225333610716079,4.217134494926473,Feynman17,c,4.217134494926473,4.225333610716079,4.1400617875228365
5.0,1.0,3.107380625237174,1.0,4.224744782894028,4.233648452999726,Feynman17,c,4.233648452999726,4.224744782894028,4.1399668543190336
5.0,1.0,3.112477227644737,1.0,4.2239464421695105,4.228435549721248,Feynman17,c,4.228435549721248,4.2239464421695105,4.139837596414917
5.0,1.0,3.132810362051516,1.0,4.220804511134651,4.228636060509746,Feynman17,c,4.228636060509746,4.220804511134651,4.139322692002037
5.0,1.0,3.1439679199838135,1.0,4.21910917613201,4.210679311755116,Feynman17,c,4.210679311755116,4.21910917613201,4.139040671496122
5.0,1.0,3.1460498953025726,1.0,4.218795050166469,4.227194737151156,Feynman17,c,4.227194737151156,4.218795050166469,4.138988088415201
5.0,1.0,3.151158032929464,1.0,4.21802727196084,4.207689473154077,Feynman17,c,4.207689473154077,4.21802727196084,4.138859130572223
5.0,1.0,3.1555760518223575,1.0,4.217366562479807,4.229980390112585,Feynman17,c,4.229980390112585,4.217366562479807,4.138747658212344
5.0,1.0,3.168375243704822,1.0,4.2154697624621305,4.190951100057902,Feynman17,c,4.190951100057902,4.2154697624621305,4.13842504790894
5.0,1.0,3.1743106262169967,1.0,4.214598792470804,4.195810165809898,Feynman17,c,4.195810165809898,4.214598792470804,4.138275609913205
5.0,1.0,3.184329548896095,1.0,4.2131408386999825,4.230323227416622,Feynman17,c,4.230323227416622,4.2131408386999825,4.138023597735809
5.0,1.0,3.199883324343143,1.0,4.210907464971817,4.203115997501721,Feynman17,c,4.203115997501721,4.210907464971817,4.13763295852878
5.0,1.0,3.2012391833411007,1.0,4.210714484487526,4.210580117018099,Feynman17,c,4.210580117018099,4.210714484487526,4.137598939847965
5.0,1.0,3.2113560483319175,1.0,4.209283079510788,4.224460666240724,Feynman17,c,4.224460666240724,4.209283079510788,4.137345279684696
5.0,1.0,3.214593716900872,1.0,4.208828149459967,4.202373690071937,Feynman17,c,4.202373690071937,4.208828149459967,4.13726416616138
5.0,1.0,3.2419201068387897,1.0,4.205048323512864,4.230202677836872,Feynman17,c,4.230202677836872,4.205048323512864,4.136580802069404
5.0,1.0,3.243883474653397,1.0,4.204780806194353,4.189319632930511,Feynman17,c,4.189319632930511,4.204780806194353,4.136531788910656
5.0,1.0,3.264807965190721,1.0,4.201962772753909,4.1745659548220875,Feynman17,c,4.1745659548220875,4.201962772753909,4.136010146869949
5.0,1.0,3.2668516519739277,1.0,4.201690735603042,4.199440758791283,Feynman17,c,4.199440758791283,4.201690735603042,4.135959268159635
5.0,1.0,3.270785373204057,1.0,4.201168696794294,4.202608564266278,Feynman17,c,4.202608564266278,4.201168696794294,4.135861370976426
5.0,1.0,3.27652195849537,1.0,4.2004111162328845,4.20032785987363,Feynman17,c,4.20032785987363,4.2004111162328845,4.135718689030628
5.0,1.0,3.2968521034943246,1.0,4.197761286111085,4.179493230968437,Feynman17,c,4.179493230968437,4.197761286111085,4.135213819670267
5.0,1.0,3.311235924700357,1.0,4.195918868160394,4.211755283846133,Feynman17,c,4.211755283846133,4.195918868160394,4.134857360100426
5.0,1.0,3.3365087538287663,1.0,4.192744906486748,4.15619413144693,Feynman17,c,4.15619413144693,4.192744906486748,4.134232536018868
5.0,1.0,3.339116952638418,1.0,4.192421848845846,4.19793425960884,Feynman17,c,4.19793425960884,4.192421848845846,4.1341681608913685
5.0,1.0,3.3407144530792223,1.0,4.192224389006014,4.182852111734593,Feynman17,c,4.182852111734593,4.192224389006014,4.134128741603996
5.0,1.0,3.3425155435408245,1.0,4.192002137150537,4.1872769969951555,Feynman17,c,4.1872769969951555,4.192002137150537,4.134084307675729
5.0,1.0,3.365789807062214,1.0,4.1891652543370546,4.190377090911093,Feynman17,c,4.190377090911093,4.1891652543370546,4.133510982220656
5.0,1.0,3.3812546772003635,1.0,4.187315666732807,4.1944047842036065,Feynman17,c,4.1944047842036065,4.187315666732807,4.133130915177407
5.0,1.0,3.3950199074155316,1.0,4.18569259161872,4.154944922881144,Feynman17,c,4.154944922881144,4.18569259161872,4.1327932132323815
5.0,1.0,3.405450338466996,1.0,4.184477048848035,4.186760913108699,Feynman17,c,4.186760913108699,4.184477048848035,4.1325376963877725
5.0,1.0,3.4180646833975192,1.0,4.1830232296069845,4.190487215715772,Feynman17,c,4.190487215715772,4.1830232296069845,4.132229108507544
5.0,1.0,3.422502566163372,1.0,4.182515933341978,4.195277645374737,Feynman17,c,4.195277645374737,4.182515933341978,4.132120655047268
5.0,1.0,3.448181636236138,1.0,4.179622433753759,4.180346489795045,Feynman17,c,4.180346489795045,4.179622433753759,4.1314942464461435
5.0,1.0,3.470801258422455,1.0,4.177131508795555,4.158996507695832,Feynman17,c,4.158996507695832,4.177131508795555,4.1309440769327574
5.0,1.0,3.4803206559163913,1.0,4.176099009467936,4.17179119227597,Feynman17,c,4.17179119227597,4.176099009467936,4.1307129895071215
5.0,1.0,3.4847969539693233,1.0,4.175616682980575,4.179786170558916,Feynman17,c,4.179786170558916,4.175616682980575,4.130604417484779
5.0,1.0,3.484930202409288,1.0,4.175602356337428,4.1756307151388325,Feynman17,c,4.1756307151388325,4.175602356337428,4.130601186463235
5.0,1.0,3.510323869089931,1.0,4.172904413649404,4.164241386300426,Feynman17,c,4.164241386300426,4.172904413649404,4.129986389538487
5.0,1.0,3.5272800701433704,1.0,4.171138096701598,4.179459350668422,Feynman17,c,4.179459350668422,4.171138096701598,4.129576921940979
5.0,1.0,3.532593022256332,1.0,4.170590332223825,4.178782664585862,Feynman17,c,4.178782664585862,4.170590332223825,4.129448795182485
5.0,1.0,3.534551974091473,1.0,4.170389041863161,4.173959235816806,Feynman17,c,4.173959235816806,4.170389041863161,4.129401574101982
5.0,1.0,3.5367441311461834,1.0,4.170164219620523,4.154607723994646,Feynman17,c,4.154607723994646,4.170164219620523,4.129348744865114
5.0,1.0,3.5700924414503103,1.0,4.166799355265372,4.150215229105688,Feynman17,c,4.150215229105688,4.166799355265372,4.12854681079378
5.0,1.0,3.582615626751935,1.0,4.165562011833416,4.164309957288525,Feynman17,c,4.164309957288525,4.165562011833416,4.128246502473302
5.0,1.0,3.591429675050331,1.0,4.164699549147181,4.177266834384293,Feynman17,c,4.177266834384293,4.164699549147181,4.128035414463857
5.0,1.0,3.5957151629765307,1.0,4.164282692033529,4.169917979719872,Feynman17,c,4.169917979719872,4.164282692033529,4.1279328630345455
5.0,1.0,3.5983143159737576,1.0,4.164030653754411,4.1575598137044985,Feynman17,c,4.1575598137044985,4.164030653754411,4.127870691580807
5.0,1.0,3.6087312402778426,1.0,4.1630264446519405,4.169200450936761,Feynman17,c,4.169200450936761,4.1630264446519405,4.127621717572921
5.0,1.0,3.623506668713564,1.0,4.161618120305626,4.1372361390684445,Feynman17,c,4.1372361390684445,4.161618120305626,4.127269113705288
5.0,1.0,3.6767639117141977,1.0,4.156693267322625,4.167735956258558,Feynman17,c,4.167735956258558,4.156693267322625,4.126003442856242
5.0,1.0,3.6885372141876527,1.0,4.155635531669864,4.184191817176404,Feynman17,c,4.184191817176404,4.155635531669864,4.125724759562574
5.0,1.0,3.689173364464033,1.0,4.15557868980334,4.15859591470706,Feynman17,c,4.15859591470706,4.15557868980334,4.125709712837442
5.0,1.0,3.6900010034472057,1.0,4.1555047853546805,4.176779370335553,Feynman17,c,4.176779370335553,4.1555047853546805,4.125690138628014
5.0,1.0,3.6960010474033163,1.0,4.154970609379834,4.156628177704601,Feynman17,c,4.156628177704601,4.154970609379834,4.125548293014408
5.0,1.0,3.701703207822931,1.0,4.154465548498386,4.13043826636731,Feynman17,c,4.13043826636731,4.154465548498386,4.125413586314969
5.0,1.0,3.703467005537079,1.0,4.15430983195297,4.168454139469298,Feynman17,c,4.168454139469298,4.15430983195297,4.125371937791927
5.0,1.0,3.7052889484789047,1.0,4.154149233843971,4.169113495615886,Feynman17,c,4.169113495615886,4.154149233843971,4.125328925751718
5.0,1.0,3.7068184936254998,1.0,4.154014606774069,4.139957624959129,Feynman17,c,4.139957624959129,4.154014606774069,4.125292824002403
5.0,1.0,3.7069053432929557,1.0,4.154006967856721,4.151817856131066,Feynman17,c,4.151817856131066,4.154006967856721,4.125290774299003
5.0,1.0,3.7155552333586592,1.0,4.153249052225064,4.126521432077343,Feynman17,c,4.126521432077343,4.153249052225064,4.125086741235664
5.0,1.0,3.719872188285911,1.0,4.1528729248701115,4.140304700244161,Feynman17,c,4.140304700244161,4.1528729248701115,4.12498499422109
5.0,1.0,3.722680745659105,1.0,4.152628977977742,4.1751938305348,Feynman17,c,4.1751938305348,4.152628977977742,4.124918827840124
5.0,1.0,3.725245569772455,1.0,4.152406720641834,4.174912223562546,Feynman17,c,4.174912223562546,4.152406720641834,4.124858423478003
5.0,1.0,3.728610906464594,1.0,4.152115843466762,4.12750178233918,Feynman17,c,4.12750178233918,4.152115843466762,4.12477919505961
5.0,1.0,3.736627137403489,1.0,4.151426381289231,4.171615366106056,Feynman17,c,4.171615366106056,4.151426381289231,4.124590604960137
5.0,1.0,3.738351719238805,1.0,4.151278677105616,4.167778351603766,Feynman17,c,4.167778351603766,4.151278677105616,4.124550056685779
5.0,1.0,3.7626452414753944,1.0,4.149221198467484,4.124673048591024,Feynman17,c,4.124673048591024,4.149221198467484,4.123979782074368
5.0,1.0,3.77532522614099,1.0,4.148164230836333,4.168587660139158,Feynman17,c,4.168587660139158,4.148164230836333,4.123682804620035
5.0,1.0,3.7772442783724482,1.0,4.148005260708025,4.127855750517709,Feynman17,c,4.127855750517709,4.148005260708025,4.123637898988349
5.0,1.0,3.788125786364314,1.0,4.147108766598039,4.1506957446429205,Feynman17,c,4.1506957446429205,4.147108766598039,4.123383473633749
5.0,1.0,3.7925803787246615,1.0,4.146744156844166,4.1534818113827,Feynman17,c,4.1534818113827,4.146744156844166,4.1232794173133795
5.0,1.0,3.79283195855833,1.0,4.1467236061382,4.1309469130521155,Feynman17,c,4.1309469130521155,4.1467236061382,4.123273542281591
5.0,1.0,3.797420371154954,1.0,4.14634956390042,4.175608259636233,Feynman17,c,4.175608259636233,4.14634956390042,4.123166423121674
5.0,1.0,3.7987040662215694,1.0,4.146245179156892,4.15551041542956,Feynman17,c,4.15551041542956,4.146245179156892,4.123136465372795
5.0,1.0,3.802516556355272,1.0,4.145935832611279,4.129410674251987,Feynman17,c,4.129410674251987,4.145935832611279,4.123047520806964
5.0,1.0,3.805197831267106,1.0,4.145718871201415,4.172506036794749,Feynman17,c,4.172506036794749,4.145718871201415,4.122984992319454
5.0,1.0,3.818322903816748,1.0,4.1446638983576864,4.113513501812211,Feynman17,c,4.113513501812211,4.1446638983576864,4.122679208593093
5.0,1.0,3.8352780968471785,1.0,4.14331823644248,4.140913498541599,Feynman17,c,4.140913498541599,4.14331823644248,4.1222849255965865
5.0,1.0,3.8453945458099223,1.0,4.142524416709997,4.140465414955298,Feynman17,c,4.140465414955298,4.142524416709997,4.122050067180691
5.0,1.0,3.850557350847917,1.0,4.142121884152191,4.118360877434558,Feynman17,c,4.118360877434558,4.142121884152191,4.121930323386083
5.0,1.0,3.8549189683984513,1.0,4.141783168907762,4.143279869886027,Feynman17,c,4.143279869886027,4.141783168907762,4.121829221619981
5.0,1.0,3.8553775768656835,1.0,4.141747625806629,4.154921661426012,Feynman17,c,4.154921661426012,4.141747625806629,4.121818594304511
5.0,1.0,3.8627097129610437,1.0,4.141181211718197,4.145623051833778,Feynman17,c,4.145623051833778,4.141181211718197,4.121648768987663
5.0,1.0,3.8670549788361535,1.0,4.140847164416836,4.163691333122622,Feynman17,c,4.163691333122622,4.140847164416836,4.121548197699531
5.0,1.0,3.8695816518070014,1.0,4.1406534777771205,4.140543052572103,Feynman17,c,4.140543052572103,4.1406534777771205,4.121489742694134
5.0,1.0,3.872094501712598,1.0,4.140461253577379,4.114927066785834,Feynman17,c,4.114927066785834,4.140461253577379,4.121431625647661
5.0,1.0,3.8934023974220615,1.0,4.138847260999908,4.129121427108355,Feynman17,c,4.129121427108355,4.138847260999908,4.120939545350969
5.0,1.0,3.905129204865748,1.0,4.13797104027629,4.108969836376434,Feynman17,c,4.108969836376434,4.13797104027629,4.120669283619099
5.0,1.0,3.905854003711389,1.0,4.1379171606902165,4.142437000817589,Feynman17,c,4.142437000817589,4.1379171606902165,4.120652592467341
5.0,1.0,3.9194754532366316,1.0,4.136910518926944,4.135270595105677,Feynman17,c,4.135270595105677,4.136910518926944,4.120339188161978
