x,u,c,t,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise,Predicted
5.0,1.0,3.0,1.0005590523550985,4.242047722552292,4.158573604249458,Feynman17,t,4.158573604249458,0.0,4.242047722552292,4.238608303461307
5.0,1.0,3.0,1.0010842275008058,4.241490690192032,4.172663069948456,Feynman17,t,4.172663069948456,0.0,4.241490690192032,4.23812354115046
5.0,1.0,3.0,1.0014805244876963,4.241070353761841,4.336979698511559,Feynman17,t,4.336979698511559,0.0,4.241070353761841,4.237757506728563
5.0,1.0,3.0,1.0019768489711836,4.240543922149927,4.174402650902381,Feynman17,t,4.174402650902381,0.0,4.240543922149927,4.237298801096634
5.0,1.0,3.0,1.0024933117631938,4.239996130636236,4.182165239342223,Feynman17,t,4.182165239342223,0.0,4.239996130636236,4.236821150957392
5.0,1.0,3.0,1.0030872940842528,4.239366117245547,4.226278246344403,Feynman17,t,4.226278246344403,0.0,4.239366117245547,4.2362713883500085
5.0,1.0,3.0,1.0036054795978107,4.238816498509722,4.210338669833987,Feynman17,t,4.210338669833987,0.0,4.238816498509722,4.23579141470417
5.0,1.0,3.0,1.0041194982173482,4.238271299432426,4.413181274458566,Feynman17,t,4.413181274458566,0.0,4.238271299432426,4.235314965220896
5.0,1.0,3.0,1.0042324417516144,4.2381515047239695,4.278830843550282,Feynman17,t,4.278830843550282,0.0,4.2381515047239695,4.23521023191167
5.0,1.0,3.0,1.0044236970656053,4.2379486478297785,4.176292056612427,Feynman17,t,4.176292056612427,0.0,4.2379486478297785,4.235032842854673
5.0,1.0,3.0,1.0048632896749998,4.237482389457185,4.179524368357777,Feynman17,t,4.179524368357777,0.0,4.237482389457185,4.234624946492781
5.0,1.0,3.0,1.0049428629051533,4.237397989301221,4.201200270985207,Feynman17,t,4.201200270985207,0.0,4.237397989301221,4.234551084769888
5.0,1.0,3.0,1.0051088600087792,4.237221922784775,4.111630769312611,Feynman17,t,4.111630769312611,0.0,4.237221922784775,4.234396976747139
