epsilon,p_d,r,x,y,z,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise
1.0,1.0,1.0,1.0,1.0,1.0017949985665564,0.3382246434952708,0.4326664008928021,Feynman56,z,0.4326664008928021,0.3382246434952708
1.0,1.0,1.0,1.0,1.0,1.0023614482411891,0.33841588745190343,0.30418635231847485,Feynman56,z,0.30418635231847485,0.33841588745190343
1.0,1.0,1.0,1.0,1.0,1.0033514508805934,0.3387501307753888,0.3154060004226699,Feynman56,z,0.3154060004226699,0.3387501307753888
1.0,1.0,1.0,1.0,1.0,1.0040791881473454,0.33899582842606346,0.36239338279574196,Feynman56,z,0.36239338279574196,0.33899582842606346
1.0,1.0,1.0,1.0,1.0,1.006141708287435,0.3396921736265105,0.3057063448481281,Feynman56,z,0.3057063448481281,0.3396921736265105
1.0,1.0,1.0,1.0,1.0,1.0088929357820948,0.3406210392525988,0.41037671560312095,Feynman56,z,0.41037671560312095,0.3406210392525988
1.0,1.0,1.0,1.0,1.0,1.0105326413945708,0.3411746343963262,0.2881111187733621,Feynman56,z,0.2881111187733621,0.3411746343963262
1.0,1.0,1.0,1.0,1.0,1.0110161627663323,0.3413378802139041,0.35781082666916875,Feynman56,z,0.35781082666916875,0.3413378802139041
1.0,1.0,1.0,1.0,1.0,1.011492804227438,0.3414988032455505,0.35650300335089585,Feynman56,z,0.35650300335089585,0.3414988032455505
1.0,1.0,1.0,1.0,1.0,1.0115393297733621,0.34151451113609305,0.4285167445759486,Feynman56,z,0.4285167445759486,0.34151451113609305
1.0,1.0,1.0,1.0,1.0,1.0127524041594327,0.34192406763452743,0.3494859741081832,Feynman56,z,0.3494859741081832,0.34192406763452743
1.0,1.0,1.0,1.0,1.0,1.012993607456961,0.34200550235863075,0.36230916978590494,Feynman56,z,0.36230916978590494,0.34200550235863075
1.0,1.0,1.0,1.0,1.0,1.0131978708822225,0.34207446549408965,0.2974751846688443,Feynman56,z,0.2974751846688443,0.34207446549408965
1.0,1.0,1.0,1.0,1.0,1.0138607839705254,0.34229827729518714,0.4465103252401861,Feynman56,z,0.4465103252401861,0.34229827729518714
1.0,1.0,1.0,1.0,1.0,1.0153205050685286,0.34279110631577625,0.35385794256351766,Feynman56,z,0.35385794256351766,0.34279110631577625
1.0,1.0,1.0,1.0,1.0,1.0154330728655678,0.3428291112999069,0.32640081672957677,Feynman56,z,0.32640081672957677,0.3428291112999069
1.0,1.0,1.0,1.0,1.0,1.016043403371913,0.3430351702423235,0.30837129128152274,Feynman56,z,0.30837129128152274,0.3430351702423235
1.0,1.0,1.0,1.0,1.0,1.0187390278571702,0.3439452632571896,0.3274903286619911,Feynman56,z,0.3274903286619911,0.3439452632571896
