n,alpha,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
0.0,0.0008541735341286438,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0010203659595716674,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0015412496975805157,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0015514707492139124,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0017467129414986404,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0019654092951778557,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0028750907076925403,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0033219021355568312,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.003897668839123569,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.004117280128046796,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.004309559659101625,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.004537965442577008,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.005494349368385332,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.005835251271570696,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.005860686637306323,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.006030773276312185,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.006094946174298843,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.006559891085124558,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.00684051994024748,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0071515746567194505,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0073008929941308365,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.008203620884540186,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.00931313485392593,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.010488899113260675,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.011354939123265462,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.01154417471384217,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.01207892725098969,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.012355506644325831,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.014299851938148977,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.014696627417518648,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.015275448768342637,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.015322734848723485,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.015920844018407987,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0166236283120631,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.017348245953659913,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.017348853108235973,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.017951819822005,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0189042964443481,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.019049980139108635,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.019157253652554496,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
