n,alpha,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
0.00039988795802414767,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.00042240070404353514,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.0015674478039573447,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.0018641880775126518,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.0028264607085251026,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.003268123331364725,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.003865650646546537,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.004353587861554042,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.0068291120598718,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.00715737050713372,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.007819022263658826,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.008781547777901855,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.009394051747001142,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.009491133373929483,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.009613064587899345,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.010864278771464009,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.010880339831603969,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.011001133181397282,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.011884754397590291,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.012053920883006386,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.012079775912182567,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.012254672866287453,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.01257020737667447,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.013281570529548037,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.0133065701619135,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.01440961649652539,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.014955812680605196,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.015201606599314021,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.015503451515918254,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.015562938912710544,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.01646897298450556,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.01663649728802785,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.01743434803558308,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.017663594202106725,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.017931071277572097,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.018680799292646322,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.018944114144791357,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.01977068619843736,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.019840127888600234,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.020763638918339544,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.02080636986195694,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.021760704708856715,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.021852004915624557,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.022404073340002828,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.022822050209364453,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.02288046638423602,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.02317297381996375,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.02334808790223064,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.023993395360530467,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.024374782461289657,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.025034631212709435,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.026038580414712187,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.02764608837971616,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.02800337444271328,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.028894644616019427,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.029373596734202034,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.029599512618544543,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.02970277020297918,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.030072580478987643,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.030709201998831537,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.030816565246263306,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.03143971242114929,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.03144799797978559,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.031694121104740236,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.03193074299419074,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.033412700083269686,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.033417900926146604,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.033844906353472703,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.03433581792870455,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.034519207961814735,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.034794152712523396,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.03503685152139102,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.03514276374383196,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.03516808584191622,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.035572476637339534,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.03569548880508677,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.037059907301596584,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.03726259949101751,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.03864661597731822,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.039241910145675685,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.039559937417435354,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.039989552367647896,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.04047543774903495,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.040602845727463865,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
