mom,Bx,By,Bz,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0034886958017029,1.0,1.0,1.0,1.7380934059495787,1.2006331669166679,Feynman91,mom,1.2006331669166679,0.0,1.7380934059495787
1.0048226162196077,1.0,1.0,1.0,1.7404038238866435,1.9093924783640672,Feynman91,mom,1.9093924783640672,0.0,1.7404038238866435
1.0059271121793936,1.0,1.0,1.0,1.7423168670057472,2.0752376338138747,Feynman91,mom,2.0752376338138747,0.0,1.7423168670057472
1.0161304853087594,1.0,1.0,1.0,1.7599896276743918,1.7979601274601205,Feynman91,mom,1.7979601274601205,0.0,1.7599896276743918
1.0168602403505478,1.0,1.0,1.0,1.7612536004838488,1.0621991277844598,Feynman91,mom,1.0621991277844598,0.0,1.7612536004838488
1.016864183636799,1.0,1.0,1.0,1.761260430455985,1.5551154670689415,Feynman91,mom,1.5551154670689415,0.0,1.761260430455985
1.0188332185541604,1.0,1.0,1.0,1.764670898974732,1.6313819646646301,Feynman91,mom,1.6313819646646301,0.0,1.764670898974732
1.0188592606724827,1.0,1.0,1.0,1.7647160052468027,1.7923999371441877,Feynman91,mom,1.7923999371441877,0.0,1.7647160052468027
1.0193733800890996,1.0,1.0,1.0,1.765606486197541,2.3637277815095965,Feynman91,mom,2.3637277815095965,0.0,1.765606486197541
1.0195328208460896,1.0,1.0,1.0,1.765882645689445,1.6104927513328875,Feynman91,mom,1.6104927513328875,0.0,1.765882645689445
1.0240435205769698,1.0,1.0,1.0,1.7736954068010167,1.42641717249352,Feynman91,mom,1.42641717249352,0.0,1.7736954068010167
1.025140411970591,1.0,1.0,1.0,1.7755952784251534,2.2533774402810427,Feynman91,mom,2.2533774402810427,0.0,1.7755952784251534
1.025880278456334,1.0,1.0,1.0,1.7768767647692778,2.467765999801738,Feynman91,mom,2.467765999801738,0.0,1.7768767647692778
1.0292576309648074,1.0,1.0,1.0,1.782726510909024,3.0178438287247107,Feynman91,mom,3.0178438287247107,0.0,1.782726510909024
1.031660183563686,1.0,1.0,1.0,1.7868878540781385,0.7071197453154723,Feynman91,mom,0.7071197453154723,0.0,1.7868878540781385
1.0347147680744455,1.0,1.0,1.0,1.7921785496467868,1.2880444601128587,Feynman91,mom,1.2880444601128587,0.0,1.7921785496467868
1.0368055965389944,1.0,1.0,1.0,1.7957999707772967,1.4869136441159476,Feynman91,mom,1.4869136441159476,0.0,1.7957999707772967
1.0391980290739986,1.0,1.0,1.0,1.7999437854816047,2.278349868329853,Feynman91,mom,2.278349868329853,0.0,1.7999437854816047
1.0437172090401061,1.0,1.0,1.0,1.8077712347914505,2.6641800679085392,Feynman91,mom,2.6641800679085392,0.0,1.8077712347914505
1.0451105841824768,1.0,1.0,1.0,1.81018463133204,0.9746164691728739,Feynman91,mom,0.9746164691728739,0.0,1.81018463133204
1.0463051619550514,1.0,1.0,1.0,1.8122537007277317,1.1246574790140555,Feynman91,mom,1.1246574790140555,0.0,1.8122537007277317
1.0479539595023395,1.0,1.0,1.0,1.8151095018510295,1.493373532696272,Feynman91,mom,1.493373532696272,0.0,1.8151095018510295
1.049446013466424,1.0,1.0,1.0,1.8176938151244586,3.729783850017613,Feynman91,mom,3.729783850017613,0.0,1.8176938151244586
1.0500887085589716,1.0,1.0,1.0,1.8188069956785262,1.6568028849728036,Feynman91,mom,1.6568028849728036,0.0,1.8188069956785262
1.0516652137359954,1.0,1.0,1.0,1.8215375827435267,1.1526923039914938,Feynman91,mom,1.1526923039914938,0.0,1.8215375827435267
1.0540646123302881,1.0,1.0,1.0,1.825693463016451,1.69835482429161,Feynman91,mom,1.69835482429161,0.0,1.825693463016451
1.0546340233978158,1.0,1.0,1.0,1.826679711915801,2.5481199539091506,Feynman91,mom,2.5481199539091506,0.0,1.826679711915801
1.058668483527435,1.0,1.0,1.0,1.8336676018414122,1.8092095245856257,Feynman91,mom,1.8092095245856257,0.0,1.8336676018414122
1.062498791548013,1.0,1.0,1.0,1.840301889941692,2.316498231487432,Feynman91,mom,2.316498231487432,0.0,1.840301889941692
1.0635320653613864,1.0,1.0,1.0,1.8420915726845852,2.0852289143621356,Feynman91,mom,2.0852289143621356,0.0,1.8420915726845852
1.0666828400469206,1.0,1.0,1.0,1.8475488745231323,1.8177867431399368,Feynman91,mom,1.8177867431399368,0.0,1.8475488745231323
1.0672145269359592,1.0,1.0,1.0,1.8484697832286654,0.7993820711914028,Feynman91,mom,0.7993820711914028,0.0,1.8484697832286654
1.069471390229443,1.0,1.0,1.0,1.8523787851187166,0.5744046995943672,Feynman91,mom,0.5744046995943672,0.0,1.8523787851187166
1.072286186092044,1.0,1.0,1.0,1.8572541545656762,2.031202427559411,Feynman91,mom,2.031202427559411,0.0,1.8572541545656762
1.0723781461641781,1.0,1.0,1.0,1.8574134340828803,1.9579403437066505,Feynman91,mom,1.9579403437066505,0.0,1.8574134340828803
1.077369945750339,1.0,1.0,1.0,1.866059484587312,2.3275270887582606,Feynman91,mom,2.3275270887582606,0.0,1.866059484587312
1.0790463645492818,1.0,1.0,1.0,1.8689631271218445,2.6292672324761295,Feynman91,mom,2.6292672324761295,0.0,1.8689631271218445
