n,alpha,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
0.0,0.00028299674571541367,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.00029101344514093075,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0004340660772176319,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.001208927177482666,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.002132235935008886,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0023671570138485976,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0023898856465948137,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.003163964402112196,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.003813345080410868,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.005825374907853398,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.005875081577898622,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.006013459002742638,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.006295189940042967,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0063224876368003224,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.006803891352566205,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.00841240882675054,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.00961256924590792,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.011143467885321168,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.011352130956326811,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.011637658380027172,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.011696549121921418,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.011930928467844715,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.011988230254560306,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.012832343672651958,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.014303259280724512,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.014522030427766675,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.014624926411777484,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.014865185297394778,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.015315628878705967,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.015803445962536466,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.01610811930527123,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.016235786985261735,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.016911661815710688,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.017083051997525134,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.017112476573667212,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.017127286583246693,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.017130518197509437,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.018126394914696253,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.018147261293113504,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.018198789730305198,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.018654907353997774,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.019022016296445843,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.019078176678267944,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.019385331515317294,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.01988488801608168,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.020344991928412548,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.02049010171215626,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.02070140519725827,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.02086631189391963,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.021768221913865626,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.02204806636717771,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.022400376511275133,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.02297947922950283,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.02462128322838808,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.02574504196880778,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.025849090443919143,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.02670638189213559,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.02691122538236257,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.027212090074303696,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.02748240918175726,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.027609993102386432,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.027843792163013248,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.028221903269287862,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.02841535548466645,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0285781313715312,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.02916443704758842,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.02951042190442288,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.029582482454940662,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.029625001740491652,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.030447426964602564,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.030919469257491672,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.031053050405304483,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.031670156688333506,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.031860372141188975,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.03188673900917738,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.03192417683237614,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.03220098724363607,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.033004735189002155,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.033056123363567225,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.03394448903101854,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.034219005064821006,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.034711255195795876,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.03514294239787774,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.035535941025449325,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.036127007565099234,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.03715167069311931,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.03753217335128767,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.03810856434220744,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.03875420285129472,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.039753866327113974,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.040882739758579256,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.04109984063333072,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.04123842569643821,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.041574624316403574,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0427320990868888,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.042949989459937,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.04371605072158957,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.04376714447772956,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.04409238258025949,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.04427592602028074,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.04450401019798822,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.04454088217617047,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.047223937106669056,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.047327279431381486,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.04825421810518937,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.04894888671954467,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.04928628388001732,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.04952810094742155,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.049617662165382215,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0497914647379617,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.04996984572214014,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.049994737889760166,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.05084976962232135,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.050871592611691385,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.051813140655730616,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.05227675143643706,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.05325345625937794,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.054443050275237215,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.05476427667748829,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.05503166148354266,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.05510587431497205,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.0569214088081299,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.05699993242046675,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.05737792274183329,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.057690027114579046,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.05814407659202414,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.05852519291865599,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.059226170890952945,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
0.0,0.05954546876720157,1.0,1.0,Feynman65,alpha,1.0,0.0,1.0
