x,u,c,t,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise
5.003971528904175,1.0,3.0,1.0,4.246853129649016,4.035319425368383,Feynman17,x,4.035319425368383,4.246853129649016
5.004200692924455,1.0,3.0,1.0,4.247096194798131,3.87378765381056,Feynman17,x,3.87378765381056,4.247096194798131
5.004372106680427,1.0,3.0,1.0,4.247278006541987,5.122785970786888,Feynman17,x,5.122785970786888,4.247278006541987
5.0089800457622715,1.0,3.0,1.0,4.252165464000087,4.507188511839592,Feynman17,x,4.507188511839592,4.252165464000087
5.0092784341798415,1.0,3.0,1.0,4.2524819527103235,4.2634667281323555,Feynman17,x,4.2634667281323555,4.2524819527103235
5.0099179394704,1.0,3.0,1.0,4.2531602505016615,4.941107341002505,Feynman17,x,4.941107341002505,4.2531602505016615
5.010583704474246,1.0,3.0,1.0,4.253866400925006,4.188468801647909,Feynman17,x,4.188468801647909,4.253866400925006
5.013053090563586,1.0,3.0,1.0,4.256485580398716,3.492221576698479,Feynman17,x,3.492221576698479,4.256485580398716
5.01575721086862,1.0,3.0,1.0,4.259353733105967,4.023945421900666,Feynman17,x,4.023945421900666,4.259353733105967
5.016129494525502,1.0,3.0,1.0,4.259748599553426,4.498007430183851,Feynman17,x,4.498007430183851,4.259748599553426
5.017540285369283,1.0,3.0,1.0,4.261244969212136,4.111245418868479,Feynman17,x,4.111245418868479,4.261244969212136
5.020758403677178,1.0,3.0,1.0,4.264658299129396,4.8822332381280145,Feynman17,x,4.8822332381280145,4.264658299129396
5.023667964120011,1.0,3.0,1.0,4.267744354008495,4.787526439756016,Feynman17,x,4.787526439756016,4.267744354008495
5.025990408090312,1.0,3.0,1.0,4.270207677828983,5.35314356921304,Feynman17,x,5.35314356921304,4.270207677828983
5.026569959896684,1.0,3.0,1.0,4.270822385347485,4.665643862751508,Feynman17,x,4.665643862751508,4.270822385347485
5.028419639530002,1.0,3.0,1.0,4.272784266865098,5.006662905051929,Feynman17,x,5.006662905051929,4.272784266865098
5.031639411390859,1.0,3.0,1.0,4.276199350640127,4.236467610373873,Feynman17,x,4.236467610373873,4.276199350640127
5.034172584146109,1.0,3.0,1.0,4.278886186089857,4.244249730745937,Feynman17,x,4.244249730745937,4.278886186089857
5.034850634972935,1.0,3.0,1.0,4.279605367596314,3.1322173803947813,Feynman17,x,3.1322173803947813,4.279605367596314
5.035806278000114,1.0,3.0,1.0,4.280618980093681,4.106395573337024,Feynman17,x,4.106395573337024,4.280618980093681
5.03741992321704,1.0,3.0,1.0,4.282330509306658,4.128254607938231,Feynman17,x,4.128254607938231,4.282330509306658
