m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise
1.0,1.0,1.0,3.0,1.0,3.0,1.0005091862206315,3.0,1.0,0.08334747799497721,0.08207396391116784,Feynman5,y2,0.08207396391116784,0.08334747799497721
1.0,1.0,1.0,3.0,1.0,3.0,1.0011105518100436,3.0,1.0,0.08336418484752839,0.0812852889079177,Feynman5,y2,0.0812852889079177,0.08336418484752839
1.0,1.0,1.0,3.0,1.0,3.0,1.0016838437909912,3.0,1.0,0.0833801133278623,0.08203757612944998,Feynman5,y2,0.08203757612944998,0.0833801133278623
1.0,1.0,1.0,3.0,1.0,3.0,1.0017843769641868,3.0,1.0,0.08338290672171449,0.07896363467466135,Feynman5,y2,0.07896363467466135,0.08338290672171449
1.0,1.0,1.0,3.0,1.0,3.0,1.0025226601632986,3.0,1.0,0.08340342193300697,0.08776050843007953,Feynman5,y2,0.08776050843007953,0.08340342193300697
1.0,1.0,1.0,3.0,1.0,3.0,1.002687703949792,3.0,1.0,0.08340800846803365,0.08404226558599763,Feynman5,y2,0.08404226558599763,0.08340800846803365
1.0,1.0,1.0,3.0,1.0,3.0,1.0031856234028191,3.0,1.0,0.08342184631353376,0.08836194764271715,Feynman5,y2,0.08836194764271715,0.08342184631353376
1.0,1.0,1.0,3.0,1.0,3.0,1.0035601084156953,3.0,1.0,0.08343225450284662,0.08452057288906693,Feynman5,y2,0.08452057288906693,0.08343225450284662
1.0,1.0,1.0,3.0,1.0,3.0,1.0035750908549654,3.0,1.0,0.08343267092829039,0.08540545054173203,Feynman5,y2,0.08540545054173203,0.08343267092829039
1.0,1.0,1.0,3.0,1.0,3.0,1.0036552824901037,3.0,1.0,0.08343489981101322,0.08196382008707848,Feynman5,y2,0.08196382008707848,0.08343489981101322
1.0,1.0,1.0,3.0,1.0,3.0,1.0037711863249394,3.0,1.0,0.08343812134705612,0.08029932155150449,Feynman5,y2,0.08029932155150449,0.08343812134705612
