epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0,1.001005457742444,1.0,3.0,0.06558152722671558,0.06730179175831907,Feynman33,r,0.06730179175831907,0.0,0.06558152722671558
1.0,1.0,1.0,1.0011430473077971,1.0,3.0,0.06559955700645609,0.06725165642317828,Feynman33,r,0.06725165642317828,0.0,0.06559955700645609
1.0,1.0,1.0,1.0012813919007724,1.0,3.0,0.06561768822373511,0.013189675916199461,Feynman33,r,0.013189675916199461,0.0,0.06561768822373511
1.0,1.0,1.0,1.0014295182139232,1.0,3.0,0.06563710419463713,0.05939327457045604,Feynman33,r,0.05939327457045604,0.0,0.06563710419463713
1.0,1.0,1.0,1.00153134656837,1.0,3.0,0.0656504532281926,0.07845339429531872,Feynman33,r,0.07845339429531872,0.0,0.0656504532281926
1.0,1.0,1.0,1.0024243364529113,1.0,3.0,0.06576757652478714,0.07935427099822885,Feynman33,r,0.07935427099822885,0.0,0.06576757652478714
1.0,1.0,1.0,1.0029035376492594,1.0,3.0,0.06583047091625716,0.08819698463713742,Feynman33,r,0.08819698463713742,0.0,0.06583047091625716
1.0,1.0,1.0,1.0031006597139034,1.0,3.0,0.0658563515979864,0.0756295472278602,Feynman33,r,0.0756295472278602,0.0,0.0658563515979864
1.0,1.0,1.0,1.0036765113627624,1.0,3.0,0.06593198583008066,0.07765366309068815,Feynman33,r,0.07765366309068815,0.0,0.06593198583008066
1.0,1.0,1.0,1.003697293174635,1.0,3.0,0.0659347161924947,0.0467322842396173,Feynman33,r,0.0467322842396173,0.0,0.0659347161924947
1.0,1.0,1.0,1.0037269082333156,1.0,3.0,0.06593860718494823,0.052288048145646325,Feynman33,r,0.052288048145646325,0.0,0.06593860718494823
1.0,1.0,1.0,1.0038427157779357,1.0,3.0,0.065953823731707,0.039046873750294024,Feynman33,r,0.039046873750294024,0.0,0.065953823731707
1.0,1.0,1.0,1.0039055800390568,1.0,3.0,0.06596208452426926,0.04553696929358099,Feynman33,r,0.04553696929358099,0.0,0.06596208452426926
1.0,1.0,1.0,1.0042563147992474,1.0,3.0,0.066008182957692,0.10511491189696306,Feynman33,r,0.10511491189696306,0.0,0.066008182957692
1.0,1.0,1.0,1.0045434770270472,1.0,3.0,0.0660459377950679,0.04765348768801514,Feynman33,r,0.04765348768801514,0.0,0.0660459377950679
1.0,1.0,1.0,1.005045739901862,1.0,3.0,0.06611199907823763,0.061958256459209694,Feynman33,r,0.061958256459209694,0.0,0.06611199907823763
1.0,1.0,1.0,1.0052286751518116,1.0,3.0,0.0661360682628951,0.0924045930111671,Feynman33,r,0.0924045930111671,0.0,0.0661360682628951
1.0,1.0,1.0,1.0057403484593133,1.0,3.0,0.06620341348319353,0.06610423256366547,Feynman33,r,0.06610423256366547,0.0,0.06620341348319353
1.0,1.0,1.0,1.005843472949948,1.0,3.0,0.06621699063224674,0.05355281107948526,Feynman33,r,0.05355281107948526,0.0,0.06621699063224674
1.0,1.0,1.0,1.0069820885757612,1.0,3.0,0.06636699085843267,0.0849863097730393,Feynman33,r,0.0849863097730393,0.0,0.06636699085843267
1.0,1.0,1.0,1.0072582774221712,1.0,3.0,0.0664034013101146,0.05258144595603889,Feynman33,r,0.05258144595603889,0.0,0.0664034013101146
1.0,1.0,1.0,1.0081048467535259,1.0,3.0,0.06651506821387498,0.06340735303592587,Feynman33,r,0.06340735303592587,0.0,0.06651506821387498
1.0,1.0,1.0,1.0085799531279354,1.0,3.0,0.066577778317377,0.027387132651182304,Feynman33,r,0.027387132651182304,0.0,0.066577778317377
1.0,1.0,1.0,1.008864864840091,1.0,3.0,0.06661539847427285,0.0718991148327356,Feynman33,r,0.0718991148327356,0.0,0.06661539847427285
1.0,1.0,1.0,1.0098962893844179,1.0,3.0,0.06675167813273737,0.03857080750104058,Feynman33,r,0.03857080750104058,0.0,0.06675167813273737
1.0,1.0,1.0,1.010088563866025,1.0,3.0,0.06677709829962056,0.06354185505551797,Feynman33,r,0.06354185505551797,0.0,0.06677709829962056
1.0,1.0,1.0,1.0106997608648176,1.0,3.0,0.06685793538983252,0.0864731108271258,Feynman33,r,0.0864731108271258,0.0,0.06685793538983252
1.0,1.0,1.0,1.0111413205322255,1.0,3.0,0.0669163666226633,0.04519797674228726,Feynman33,r,0.04519797674228726,0.0,0.0669163666226633
1.0,1.0,1.0,1.0113066049892592,1.0,3.0,0.06693824514561622,0.085229826914346,Feynman33,r,0.085229826914346,0.0,0.06693824514561622
1.0,1.0,1.0,1.0114465707895721,1.0,3.0,0.06695677506196583,0.04422480186807923,Feynman33,r,0.04422480186807923,0.0,0.06695677506196583
