epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name,target_with_error,target_with_error_without_noise
1.0001402538801076,1.0,1.0,1.0,1.0,3.0,0.0654590265447745,0.06487143671229934,Feynman33,epsilon,0.06487143671229934,0.0654590265447745
1.0011214960588832,1.0,1.0,1.0,1.0,3.0,0.06552324869519605,0.07928343623605472,Feynman33,epsilon,0.07928343623605472,0.06552324869519605
1.002053241979437,1.0,1.0,1.0,1.0,3.0,0.06558423132309238,0.06430372636750774,Feynman33,epsilon,0.06430372636750774,0.06558423132309238
1.002119051573332,1.0,1.0,1.0,1.0,3.0,0.06558853855094064,0.06329081447674749,Feynman33,epsilon,0.06329081447674749,0.06558853855094064
1.0021236944220884,1.0,1.0,1.0,1.0,3.0,0.06558884242468116,0.06583583191712832,Feynman33,epsilon,0.06583583191712832,0.06558884242468116
1.0038188263456407,1.0,1.0,1.0,1.0,3.0,0.06569978854963734,0.06288793810730639,Feynman33,epsilon,0.06288793810730639,0.06569978854963734
1.00398096467126,1.0,1.0,1.0,1.0,3.0,0.06571040047823383,0.05505427193760527,Feynman33,epsilon,0.05505427193760527,0.06571040047823383
1.0040063029299584,1.0,1.0,1.0,1.0,3.0,0.06571205886338762,0.04734831795014459,Feynman33,epsilon,0.04734831795014459,0.06571205886338762
1.0041495299708907,1.0,1.0,1.0,1.0,3.0,0.0657214330512957,0.05800741680840418,Feynman33,epsilon,0.05800741680840418,0.0657214330512957
1.0043701048483493,1.0,1.0,1.0,1.0,3.0,0.06573586964326635,0.06490350353840581,Feynman33,epsilon,0.06490350353840581,0.06573586964326635
1.00483161251799,1.0,1.0,1.0,1.0,3.0,0.06576607524961046,0.06792177685811247,Feynman33,epsilon,0.06792177685811247,0.06576607524961046
1.0052201869079433,1.0,1.0,1.0,1.0,3.0,0.06579150738396153,0.06298554873781735,Feynman33,epsilon,0.06298554873781735,0.06579150738396153
1.0058142289375929,1.0,1.0,1.0,1.0,3.0,0.06583038734388383,0.0650774656503768,Feynman33,epsilon,0.0650774656503768,0.06583038734388383
1.00677824320024,1.0,1.0,1.0,1.0,3.0,0.0658934819298315,0.06417380719015825,Feynman33,epsilon,0.06417380719015825,0.0658934819298315
1.007131757889514,1.0,1.0,1.0,1.0,3.0,0.06591661941213899,0.08113150272976927,Feynman33,epsilon,0.08113150272976927,0.06591661941213899
1.0071947242613062,1.0,1.0,1.0,1.0,3.0,0.06592074055153577,0.06314790129620994,Feynman33,epsilon,0.06314790129620994,0.06592074055153577
1.0078875637740414,1.0,1.0,1.0,1.0,3.0,0.06596608679160505,0.06321002119131663,Feynman33,epsilon,0.06321002119131663,0.06596608679160505
1.008515064945037,1.0,1.0,1.0,1.0,3.0,0.06600715664720752,0.07040388296190546,Feynman33,epsilon,0.07040388296190546,0.06600715664720752
1.0088025239206524,1.0,1.0,1.0,1.0,3.0,0.0660259707931659,0.06871206660014469,Feynman33,epsilon,0.06871206660014469,0.0660259707931659
1.0089056394203104,1.0,1.0,1.0,1.0,3.0,0.06603271968683666,0.06878037780917878,Feynman33,epsilon,0.06878037780917878,0.06603271968683666
1.0090851476172862,1.0,1.0,1.0,1.0,3.0,0.06604446847085496,0.07292277411249053,Feynman33,epsilon,0.07292277411249053,0.06604446847085496
1.0094754513786066,1.0,1.0,1.0,1.0,3.0,0.06607001379229731,0.05613126016320635,Feynman33,epsilon,0.05613126016320635,0.06607001379229731
1.0098070556126784,1.0,1.0,1.0,1.0,3.0,0.0660917172386652,0.059827699331792036,Feynman33,epsilon,0.059827699331792036,0.0660917172386652
1.0101814171703518,1.0,1.0,1.0,1.0,3.0,0.06611621914531882,0.07095865035056824,Feynman33,epsilon,0.07095865035056824,0.06611621914531882
1.0110095846091867,1.0,1.0,1.0,1.0,3.0,0.06617042257743935,0.06152091080686909,Feynman33,epsilon,0.06152091080686909,0.06617042257743935
1.0111387575248947,1.0,1.0,1.0,1.0,3.0,0.0661788769250025,0.06710786968754606,Feynman33,epsilon,0.06710786968754606,0.0661788769250025
1.0113127623137463,1.0,1.0,1.0,1.0,3.0,0.06619026551180138,0.06841653839624798,Feynman33,epsilon,0.06841653839624798,0.06619026551180138
1.0113735173403051,1.0,1.0,1.0,1.0,3.0,0.06619424191899108,0.06848281798829853,Feynman33,epsilon,0.06848281798829853,0.06619424191899108
1.012708607346349,1.0,1.0,1.0,1.0,3.0,0.06628162335555084,0.06597418828526196,Feynman33,epsilon,0.06597418828526196,0.06628162335555084
1.01290255196889,1.0,1.0,1.0,1.0,3.0,0.06629431700141288,0.06688210198162903,Feynman33,epsilon,0.06688210198162903,0.06629431700141288
1.0143988294273836,1.0,1.0,1.0,1.0,3.0,0.0663922481320657,0.07745187691304962,Feynman33,epsilon,0.07745187691304962,0.0663922481320657
1.0149447140716767,1.0,1.0,1.0,1.0,3.0,0.06642797619848693,0.060115940321166836,Feynman33,epsilon,0.060115940321166836,0.06642797619848693
1.0152005805094957,1.0,1.0,1.0,1.0,3.0,0.06644472261768176,0.07263241477784393,Feynman33,epsilon,0.07263241477784393,0.06644472261768176
1.015381307745113,1.0,1.0,1.0,1.0,3.0,0.06645655118759258,0.06873651944493941,Feynman33,epsilon,0.06873651944493941,0.06645655118759258
1.0155750125641805,1.0,1.0,1.0,1.0,3.0,0.06646922913835399,0.06911205850977654,Feynman33,epsilon,0.06911205850977654,0.06646922913835399
