n,alpha,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
0.0004978740047164587,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.0011881305493565142,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.0012998840578538617,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.002017176513678054,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.0023780879570136637,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.0024854687333244474,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.002665985421148709,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.002792365823162668,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.004771577174755404,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.004890480114965068,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.005243615206913854,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.005375219171753209,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.005724069913605856,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.006011773088717698,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.006858205938042317,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.007483431559069609,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.007992694550965962,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.008210379743839757,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.008390496752982313,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.010970819227808626,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.011289330831053768,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.012973485725240042,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.012979416248701692,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.013335348897931976,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.014218073661156683,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.014582854079558283,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.01470199720634302,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
0.01487811465122102,0.0,1.0,1.0,Feynman65,n,1.0,0.0,1.0
