m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name
1.1515626652249868,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.09596355543541557,0.10590570338420549,Feynman5,m1
1.6264217532599363,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.1355351461049947,0.14157836316188707,Feynman5,m1
1.9524698962386624,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.1627058246865552,0.1560637957944308,Feynman5,m1
1.2320160915937928,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.10266800763281607,0.10651882788620781,Feynman5,m1
1.0615844490942803,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0884653707578567,0.0933332079718508,Feynman5,m1
1.2816784443128162,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.10680653702606802,0.10982766826547415,Feynman5,m1
1.7936008600277737,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.1494667383356478,0.1467174587189399,Feynman5,m1
1.9934528123283097,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.16612106769402582,0.1568088780006506,Feynman5,m1
1.3797804084344436,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.1149817007028703,0.10929225096781527,Feynman5,m1
1.5724735448891098,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.13103946207409248,0.1338407656045235,Feynman5,m1
1.8434299265841574,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.15361916054867977,0.1473911518322418,Feynman5,m1
1.8758957950187092,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.15632464958489242,0.16107793123727737,Feynman5,m1
1.5200412774333847,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.12667010645278207,0.11776351477474004,Feynman5,m1
1.5697132781167902,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.13080943984306584,0.13246155407738075,Feynman5,m1
1.5179754004213288,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.12649795003511075,0.12375782056997527,Feynman5,m1
1.1057004233041319,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.09214170194201099,0.08900762526352064,Feynman5,m1
1.0403228880228919,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.08669357400190765,0.09033473568277194,Feynman5,m1
1.9168684257434907,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.15973903547862423,0.15649057330102023,Feynman5,m1
1.4861209074493924,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.12384340895411604,0.1283574729860855,Feynman5,m1
1.3204111717085427,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.11003426430904523,0.11380195967997037,Feynman5,m1
1.0488454940992535,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0874037911749378,0.08799000299424137,Feynman5,m1
1.7097403548997145,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.14247836290830954,0.14479746694447446,Feynman5,m1
1.8644657714190263,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.1553721476182522,0.1626805666254987,Feynman5,m1
1.120386362209565,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.09336553018413041,0.09690219841854934,Feynman5,m1
1.4358131818928768,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.11965109849107307,0.1296460340295893,Feynman5,m1
1.018519851737432,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.08487665431145268,0.07622687316090158,Feynman5,m1
1.7298121904072323,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.14415101586726936,0.1387741242170257,Feynman5,m1
1.67047699335362,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.13920641611280168,0.15703004848473612,Feynman5,m1
1.2133714273638885,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.10111428561365737,0.09574846049673522,Feynman5,m1
1.8788785736319418,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.15657321446932848,0.15314988595491713,Feynman5,m1
1.4134974062534504,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.11779145052112087,0.10973743497151434,Feynman5,m1
1.4252028830982222,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.11876690692485185,0.11900197346731577,Feynman5,m1
1.49195237798827,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.12432936483235583,0.12685373876174458,Feynman5,m1
1.2745669628617327,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.10621391357181105,0.10524701709101776,Feynman5,m1
1.419708069198082,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.11830900576650683,0.1242560486931861,Feynman5,m1
1.6922569591067522,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.14102141325889603,0.13469091679159442,Feynman5,m1
1.8600382832869493,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.15500319027391243,0.16378131516012642,Feynman5,m1
1.2123272296462821,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.10102726913719018,0.1137611515868716,Feynman5,m1
1.4449842250400684,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.12041535208667237,0.12307839412034251,Feynman5,m1
