n_rho,mom,B,kb,T,target,target_with_noise,equation_name,varied_variable_name
1.0,1.0,1.0,4.609718533887145,1.0,0.21359289472341694,0.189505622863065,Feynman81,kb
1.0,1.0,1.0,1.7128600241290068,1.0,0.5254355198875801,0.5826306683940815,Feynman81,kb
1.0,1.0,1.0,4.628813942505227,1.0,0.21273863843601273,0.20253023332605163,Feynman81,kb
1.0,1.0,1.0,1.212486792654083,1.0,0.6776476020404768,0.7394486293228048,Feynman81,kb
1.0,1.0,1.0,4.200860584573055,1.0,0.233649704518599,0.1894857639302621,Feynman81,kb
1.0,1.0,1.0,1.9694284016205468,1.0,0.4681992664621966,0.4863137875400792,Feynman81,kb
1.0,1.0,1.0,2.0805778631006144,1.0,0.44675257763084897,0.5061222339223334,Feynman81,kb
1.0,1.0,1.0,3.44401921619089,1.0,0.2824646749101309,0.19286717069036377,Feynman81,kb
1.0,1.0,1.0,1.8132676873276519,1.0,0.501636516642377,0.4218837629645795,Feynman81,kb
1.0,1.0,1.0,4.719686748389192,1.0,0.20876380290382432,0.23403836437481454,Feynman81,kb
1.0,1.0,1.0,4.991822360910388,1.0,0.19769017734983071,0.12069967818027298,Feynman81,kb
1.0,1.0,1.0,3.111227906549858,1.0,0.310787170640379,0.332219185998135,Feynman81,kb
1.0,1.0,1.0,3.63214540950944,1.0,0.2685675453475492,0.2584031483952872,Feynman81,kb
1.0,1.0,1.0,3.4308404197176894,1.0,0.2834907080400407,0.37271508623690974,Feynman81,kb
1.0,1.0,1.0,3.2775481558051713,1.0,0.29597843048812833,0.318111363581526,Feynman81,kb
1.0,1.0,1.0,3.2506720633017676,1.0,0.2982782966834923,0.27763920060079916,Feynman81,kb
1.0,1.0,1.0,3.2069218181339463,1.0,0.3020969110511109,0.32996744089534435,Feynman81,kb
1.0,1.0,1.0,1.1578395862385205,1.0,0.6981475663223387,0.7580799981875003,Feynman81,kb
1.0,1.0,1.0,4.17061236215573,1.0,0.23528127321517095,0.16488536791905578,Feynman81,kb
1.0,1.0,1.0,1.480972853208192,1.0,0.5884108368449403,0.6411527465258999,Feynman81,kb
1.0,1.0,1.0,3.373401390921369,1.0,0.28804833679148417,0.31225709937410306,Feynman81,kb
1.0,1.0,1.0,4.839639978210912,1.0,0.20373568210414844,0.16840605013271892,Feynman81,kb
1.0,1.0,1.0,1.3166434980738986,1.0,0.6407865032890807,0.5672897899524654,Feynman81,kb
1.0,1.0,1.0,2.7858624518684345,1.0,0.3442934730726307,0.38971905983826743,Feynman81,kb
1.0,1.0,1.0,1.907116896663024,1.0,0.4810516826423295,0.4388264725519529,Feynman81,kb
1.0,1.0,1.0,1.2836094462040926,1.0,0.6521629106695597,0.7181913284850194,Feynman81,kb
1.0,1.0,1.0,1.605275650596861,1.0,0.5531758538041271,0.6510067711436228,Feynman81,kb
1.0,1.0,1.0,4.511441871804285,1.0,0.21809836062808344,0.31289060943288366,Feynman81,kb
1.0,1.0,1.0,3.9085208800754243,1.0,0.2504110019743873,0.24599631624019472,Feynman81,kb
