n_rho,mom,B,kb,T,target,target_with_noise,equation_name,varied_variable_name
4.974511570339606,1.0,1.0,1.0,1.0,3.788558940704979,3.5449740795612232,Feynman81,n_rho
4.395483234575745,1.0,1.0,1.0,1.0,3.3475743440544297,3.414462468216809,Feynman81,n_rho
1.2774500901501358,1.0,1.0,1.0,1.0,0.9728985231835083,0.2783362799590453,Feynman81,n_rho
3.932548294568364,1.0,1.0,1.0,1.0,2.9950057991570755,3.066775183425204,Feynman81,n_rho
4.956476086938904,1.0,1.0,1.0,1.0,3.774823221947167,3.632157741941931,Feynman81,n_rho
1.8806154006178595,1.0,1.0,1.0,1.0,1.4322656987109712,1.0749733134817996,Feynman81,n_rho
2.69269974999616,1.0,1.0,1.0,1.0,2.0507443933406244,2.530537004285739,Feynman81,n_rho
3.3276170129665146,1.0,1.0,1.0,1.0,2.534293670334276,3.0884204178632935,Feynman81,n_rho
1.0193942114372545,1.0,1.0,1.0,1.0,0.7763646740457484,0.9674144134647775,Feynman81,n_rho
3.458520134380343,1.0,1.0,1.0,1.0,2.633988722599416,2.94602482799278,Feynman81,n_rho
3.4896321281146845,1.0,1.0,1.0,1.0,2.6576834352076224,2.4074523199537126,Feynman81,n_rho
1.8311783589745447,1.0,1.0,1.0,1.0,1.3946147367076809,1.3003605245409091,Feynman81,n_rho
4.064509041391887,1.0,1.0,1.0,1.0,3.0955063327534296,3.5083811120360626,Feynman81,n_rho
1.4708118557781242,1.0,1.0,1.0,1.0,1.1201617138710727,0.9865372247036142,Feynman81,n_rho
2.3379109806628806,1.0,1.0,1.0,1.0,1.780539340017661,1.785430556428276,Feynman81,n_rho
1.9557226462046944,1.0,1.0,1.0,1.0,1.489466938019839,1.5727533871446493,Feynman81,n_rho
2.7917007168313073,1.0,1.0,1.0,1.0,2.1261429511162433,1.8405821116083225,Feynman81,n_rho
1.918032450058095,1.0,1.0,1.0,1.0,1.4607623048977625,1.7464768002712672,Feynman81,n_rho
3.593745946605508,1.0,1.0,1.0,1.0,2.736975910924473,2.661592511365307,Feynman81,n_rho
4.035259726083402,1.0,1.0,1.0,1.0,3.0732302251487797,3.0024279993680008,Feynman81,n_rho
3.524515735770382,1.0,1.0,1.0,1.0,2.6842505869368556,2.7354590033356696,Feynman81,n_rho
1.604934011454516,1.0,1.0,1.0,1.0,1.222308363818402,0.8049868584552183,Feynman81,n_rho
4.648994517836134,1.0,1.0,1.0,1.0,3.5406470558543885,3.9641809188619743,Feynman81,n_rho
1.579892790592722,1.0,1.0,1.0,1.0,1.203237116352062,1.700016496955699,Feynman81,n_rho
2.824539312454711,1.0,1.0,1.0,1.0,2.151152633632822,1.797379575054667,Feynman81,n_rho
4.399246831248537,1.0,1.0,1.0,1.0,3.350440677285803,3.478171879938713,Feynman81,n_rho
2.3377702110261005,1.0,1.0,1.0,1.0,1.7804321306849533,1.67957069910076,Feynman81,n_rho
2.1027463011315315,1.0,1.0,1.0,1.0,1.6014392943993754,1.6584906484074813,Feynman81,n_rho
3.641314211837689,1.0,1.0,1.0,1.0,2.773203623734256,2.92656816369905,Feynman81,n_rho
1.149600423486603,1.0,1.0,1.0,1.0,0.8755289642116693,0.6844236672460694,Feynman81,n_rho
1.980541260429285,1.0,1.0,1.0,1.0,1.508368649572208,1.2088416903991803,Feynman81,n_rho
