n,alpha,target,target_with_noise,equation_name,varied_variable_name
0.4512090894910431,0.0,1.0,1.0,Feynman65,n
0.1453546540529974,0.0,1.0,1.0,Feynman65,n
0.579772626548111,0.0,1.0,1.0,Feynman65,n
0.5416429690750293,0.0,1.0,1.0,Feynman65,n
0.012406065461322058,0.0,1.0,1.0,Feynman65,n
0.4747009722207256,0.0,1.0,1.0,Feynman65,n
0.5274708354935407,0.0,1.0,1.0,Feynman65,n
0.9932570895317743,0.0,1.0,1.0,Feynman65,n
0.9333080325158096,0.0,1.0,1.0,Feynman65,n
0.7094747526295263,0.0,1.0,1.0,Feynman65,n
0.9613406352266147,0.0,1.0,1.0,Feynman65,n
0.7630870016611697,0.0,1.0,1.0,Feynman65,n
0.696217136371051,0.0,1.0,1.0,Feynman65,n
0.9520876751335088,0.0,1.0,1.0,Feynman65,n
0.36855215828949073,0.0,1.0,1.0,Feynman65,n
0.057562246728983135,0.0,1.0,1.0,Feynman65,n
0.045110690585427715,0.0,1.0,1.0,Feynman65,n
0.8185821376490403,0.0,1.0,1.0,Feynman65,n
0.4568263515930069,0.0,1.0,1.0,Feynman65,n
0.9185141140847115,0.0,1.0,1.0,Feynman65,n
0.36639375518629425,0.0,1.0,1.0,Feynman65,n
0.19881753402634772,0.0,1.0,1.0,Feynman65,n
0.4419701841272453,0.0,1.0,1.0,Feynman65,n
0.9075716709257067,0.0,1.0,1.0,Feynman65,n
0.07064375012448876,0.0,1.0,1.0,Feynman65,n
0.5819607297448556,0.0,1.0,1.0,Feynman65,n
0.859023044890705,0.0,1.0,1.0,Feynman65,n
0.4953963015775469,0.0,1.0,1.0,Feynman65,n
0.6970015981422466,0.0,1.0,1.0,Feynman65,n
0.6429488805606762,0.0,1.0,1.0,Feynman65,n
0.894678682470803,0.0,1.0,1.0,Feynman65,n
0.591415351812559,0.0,1.0,1.0,Feynman65,n
0.7682443388302433,0.0,1.0,1.0,Feynman65,n
0.8285454313161139,0.0,1.0,1.0,Feynman65,n
0.3905508861911322,0.0,1.0,1.0,Feynman65,n
0.8961801901086446,0.0,1.0,1.0,Feynman65,n
0.6688878327851646,0.0,1.0,1.0,Feynman65,n
0.2481181519394775,0.0,1.0,1.0,Feynman65,n
0.43679440895362176,0.0,1.0,1.0,Feynman65,n
0.6570530209017308,0.0,1.0,1.0,Feynman65,n
0.0568599255614326,0.0,1.0,1.0,Feynman65,n
0.5003940981845454,0.0,1.0,1.0,Feynman65,n
0.2735111576281747,0.0,1.0,1.0,Feynman65,n
0.7266212920048885,0.0,1.0,1.0,Feynman65,n
0.9492393832062228,0.0,1.0,1.0,Feynman65,n
0.36823672569994514,0.0,1.0,1.0,Feynman65,n
0.8909620867653316,0.0,1.0,1.0,Feynman65,n
0.4171729052061981,0.0,1.0,1.0,Feynman65,n
0.32152909138881514,0.0,1.0,1.0,Feynman65,n
0.09380511161914873,0.0,1.0,1.0,Feynman65,n
