omega,T,h,kb,c,target,target_with_noise,equation_name,varied_variable_name
1.5308034074273866,1.0,1.0,1.0,1.0,0.2096818573029502,0.29858528405228535,Feynman44,omega
2.5906873651770255,1.0,1.0,1.0,1.0,0.5494445996373902,0.4367380211380934,Feynman44,omega
2.1125083280399655,1.0,1.0,1.0,1.0,0.38040400384476963,0.7962825449467932,Feynman44,omega
1.1984160658628955,1.0,1.0,1.0,1.0,0.13208091371661312,0.09114534165083252,Feynman44,omega
1.827217052385151,1.0,1.0,1.0,1.0,0.291475815342592,0.479763318146096,Feynman44,omega
3.357407274098439,1.0,1.0,1.0,1.0,0.8640155610128452,1.0388185173892694,Feynman44,omega
4.29515680495995,1.0,1.0,1.0,1.0,1.3025487945170902,1.3390873453379801,Feynman44,omega
1.4482914379162835,1.0,1.0,1.0,1.0,0.18897228968123614,0.3526055926145001,Feynman44,omega
4.606574750948162,1.0,1.0,1.0,1.0,1.457368660711677,1.669884442196416,Feynman44,omega
2.9280874048709533,1.0,1.0,1.0,1.0,0.6819470410520073,0.8232604419320124,Feynman44,omega
4.600357319583593,1.0,1.0,1.0,1.0,1.4542437070465513,1.2427680054459618,Feynman44,omega
4.869582397263491,1.0,1.0,1.0,1.0,1.5906526764259845,1.6187246815478848,Feynman44,omega
4.936922762977575,1.0,1.0,1.0,1.0,1.6250908189087196,1.5252295732966137,Feynman44,omega
1.0102774658492328,1.0,1.0,1.0,1.0,0.0953231979995316,0.05675766149975715,Feynman44,omega
3.5654850712500354,1.0,1.0,1.0,1.0,0.9569794581477552,0.9611154868894014,Feynman44,omega
3.6033375429845447,1.0,1.0,1.0,1.0,0.974189330004964,1.1563744048042859,Feynman44,omega
3.9818453885198037,1.0,1.0,1.0,1.0,1.15083471786762,1.2167479492168691,Feynman44,omega
3.9724340806442684,1.0,1.0,1.0,1.0,1.1463491403803898,1.0773507034982317,Feynman44,omega
2.9208648584190473,1.0,1.0,1.0,1.0,0.6790072464046334,0.514210026914159,Feynman44,omega
1.1117311854978809,1.0,1.0,1.0,1.0,0.1144753471472758,0.30533725993340427,Feynman44,omega
4.439974946268345,1.0,1.0,1.0,1.0,1.3740952906568655,1.5650657478731689,Feynman44,omega
2.5517176980614837,1.0,1.0,1.0,1.0,0.5348075638490075,0.4981552384316652,Feynman44,omega
