n,alpha,target,target_with_noise,equation_name,varied_variable_name,Predicted
0.15814646087249384,0.2313731259501438,1.037042648227313,1.17636239967886,Feynman65,None,1.0252975871473975
0.07648323342771035,0.9492669358339609,1.0744036474249707,1.0687356643300898,Feynman65,None,1.087364285024232
0.7953913723568848,0.21692891736371245,1.1830727183914953,1.1377507612566973,Feynman65,None,1.1869840353500183
0.29667211880499267,0.6783985974972851,1.215735033792655,1.0690795673336835,Feynman65,None,1.2146456181677419
0.2702285834134558,0.048905849937503465,1.0132742349104098,0.8635485770697878,Feynman65,None,1.0042627340326433
0.9378516116316827,0.44388580779514575,1.483375232055764,1.529032265849269,Feynman65,None,1.5020159777692375
0.007660647501220641,0.8305908428968665,1.0063763876936984,0.9917938344943462,Feynman65,None,1.0137603692647594
0.1929689377914604,0.44187335139825923,1.0877622638938387,1.1167698979952787,Feynman65,None,1.0779631470401871
0.01018992858469392,0.36090516448945054,1.0036821116272652,0.8658899076275814,Feynman65,None,0.9988698744063339
0.45171365402291985,0.9399333284274872,1.4945766167191892,1.517924550704271,Feynman65,None,1.516445525538031
0.6890755247260443,0.323125839395197,1.2405084961866615,1.2904201211479926,Feynman65,None,1.2386523121550987
0.37114861286382217,0.4976444984794365,1.1968174648470877,1.2484262784026714,Feynman65,None,1.1875689795813706
0.10745679535617148,0.90245805364137,1.1002146988935795,1.144159560882799,Feynman65,None,1.111551279471578
0.9376656343406662,0.34320488687302997,1.3604803238854724,1.210788548084118,Feynman65,None,1.377912236436094
0.267152351388416,0.9934814132740474,1.2911708693544852,1.6074231143283442,Feynman65,None,1.3152309819336538
0.7097448350481119,0.019873374493683427,1.0141716554193991,1.0212834513353701,Feynman65,None,1.0164648314290956
0.6630284577461594,0.1380682989432923,1.0944245192172533,1.1799214173542536,Feynman65,None,1.0919583339458188
0.263700649309925,0.037703084401914166,1.0099753873615909,1.310076494254022,Feynman65,None,1.0012454531304538
0.975087340722726,0.3233852730826269,1.352365938952274,1.3559291900131827,Feynman65,None,1.3729892545747628
0.5314790019097658,0.3155412039991665,1.1776334422546455,1.1919275827752347,Feynman65,None,1.1684888581659258
0.9544665160339072,0.3059294733454432,1.3234852784770965,1.4530620699827819,Feynman65,None,1.3416771595408419
0.556239752581594,0.5450737851487949,1.337278376316953,1.2573283919758884,Feynman65,None,1.3340892729807403
0.5040366040172075,0.39840919256794494,1.2152190653164812,1.2741986415206743,Feynman65,None,1.2060638160621995
0.43420350453482026,0.45832646404546795,1.2131461455077643,1.2657700625838715,Feynman65,None,1.2035928828962388
0.4522197111368541,0.2593683620460877,1.1220638352957577,1.1052138528279474,Feynman65,None,1.1108234329884117
0.7486901795944798,0.1906367346837442,1.1498574623183948,0.9774958529563508,Feynman65,None,1.1509132221444704
0.5994177150132383,0.6297207448799322,1.4317950541960296,1.5496964208760218,Feynman65,None,1.4336282203663564
0.7452855991775073,0.6377486577810991,1.5647868791259922,1.4495013295129098,Feynman65,None,1.571898039407608
0.00299329482399302,0.7283158049810633,1.0021816493076028,0.9326686322112184,Feynman65,None,1.0069717595356558
0.9547522895087565,0.14851992837227557,1.1488346464565298,1.0541041701136442,Feynman65,None,1.1621973724431212
0.06615013258988967,0.8362068309403726,1.0563542752720625,1.316926290904243,Feynman65,None,1.063861831743072
0.9852560225705678,0.9265933721504584,2.3122690338697263,2.3002758682594187,Feynman65,None,2.270392141575924
0.9112503070015145,0.7993811999926138,1.9620285590897086,1.8106954890992946,Feynman65,None,1.9613718383954923
0.535451847154819,0.97663121676529,1.6333380405469229,1.6619517932643788,Feynman65,None,1.6571349210872064
0.780002300598091,0.29707437354705035,1.251114683736941,1.221719974818206,Feynman65,None,1.254786316575351
0.676195620072115,0.6725321161630173,1.5360168657563356,1.3885007431035408,Feynman65,None,1.5418269405074463
0.46718050340646833,0.3166252298288462,1.1555929634761897,1.235334463979885,Feynman65,None,1.1445765218899886
0.31924415336819434,0.5763911347691455,1.1960335091511385,1.2047821386286819,Feynman65,None,1.1896198254828676
