p_d,Ef,t,h,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name,Predicted
2.7387712908171027,1.8325601431456864,2.5742433924337,1.7563925369696975,4.964355226376615,2.562972216386033,0.012435237245830571,-7.046768439664507,Feynman90,None,14.732840366834719
1.6489320722658078,1.0353397531383224,1.0625774601595561,1.8826338448460336,4.919044753746794,3.1863673551343417,4.526054881139488,10.888789549642748,Feynman90,None,2.3126827428591716
2.721376710082896,1.6374175654545005,2.807332990010755,1.128619341075258,1.0197019237532583,3.0025853452156266,1.1054714780080586,-1.107986745125475,Feynman90,None,39.94191095588209
1.3449188811681445,1.8657452730727673,2.4847713281148724,1.4156497773858752,1.3060425794122321,3.7475681405457046,0.03512306791914444,1.8337807008120863,Feynman90,None,15.35654167435305
2.3967521388689965,2.1246149235064458,2.99021834243261,1.654262818284217,2.2665992696054778,4.255361639878342,0.1832730992997284,8.509240330547208,Feynman90,None,31.214351156521435
1.8533797989879035,1.645053625642707,1.839848614666905,2.370958087242293,3.428586428592648,4.90557380696729,7.695608796194151,7.811767685387981,Feynman90,None,9.933530353076508
2.483151951896352,2.0040514582410642,2.789498062633757,2.2483014126560894,4.713406354404196,3.265514393940435,7.722913140494272,14.85911392370909,Feynman90,None,16.455599070694213
1.161881196223068,2.6457738909819284,1.4058706663838851,1.4914816773554584,1.5560948466231523,1.0254081055433946,17.37730189180185,14.275912071803434,Feynman90,None,14.661930453455597
1.9664870124165872,2.946507158360662,2.9938614108388313,1.8815053230004786,2.6628745638049542,1.1865192373404807,7.639861048069729,14.526369012036808,Feynman90,None,27.843574231618184
2.6750929275344877,2.162270805542505,1.0050583910169082,1.8099231224481793,4.11720010123328,2.3320386953228933,15.31654112678993,9.64189063537056,Feynman90,None,13.342797901913242
1.5228224457233512,1.2031538613463015,1.069660328937987,1.2722599574430544,3.259086667701384,2.069296479073894,8.440915133107803,15.542752492336765,Feynman90,None,5.927046510785447
2.554707706574696,1.670046403146296,1.5444863209930382,2.9096192837750605,3.1591490629398464,1.13705460769211,5.835114271780926,0.6170719163186957,Feynman90,None,5.54883100987806
2.183017988053001,1.3113398164204215,1.8145076200333121,2.08639731063293,3.446821888470855,4.685030531356789,10.075380615018291,11.426133966698664,Feynman90,None,10.733581637757517
1.836067619072401,1.1200487521452591,1.9629980732346255,2.968107959558293,1.4381301637961084,1.9591220041482647,7.8263046101395215,7.02752351040425,Feynman90,None,4.7446667695005305
2.623665662431949,1.277146509750671,2.444823236677199,2.5135145851046383,1.0569342040049632,4.207748432571922,0.5865264137136956,-1.3689925013596513,Feynman90,None,11.27029600438744
2.4067574112716454,2.0827511301312516,2.1332788925169144,2.9655031809676613,3.7075670233152245,2.2472031942486823,9.336125740781343,13.896942006194353,Feynman90,None,10.76995271779229
2.4937351123773905,1.2706839422178944,1.8075977501941098,2.452688806462397,3.6188194097669917,2.981727348293358,13.12165206871591,16.717294995879826,Feynman90,None,8.779497453200685
1.6427490380118739,2.465153946719262,1.6067686918834863,1.537927343400164,1.5139740893390035,1.306857359922692,26.339095543587508,34.15640326048707,Feynman90,None,19.473996422293407
1.395489452310417,2.2903445188391833,2.2700947446633197,1.0644231473231547,2.741180521094153,2.233578856752229,38.29471622385103,35.269540295268804,Feynman90,None,22.28482004156878
2.749725034494097,2.8158199513940136,1.0479340904276964,1.913420531197353,2.6828033192933662,1.7184007000312937,24.45192096889628,26.74464146211871,Feynman90,None,22.803246584121357
2.5782916133290312,2.4215372920465548,1.436173152596797,2.5930845388996575,3.1144056803061537,4.721339764223838,13.64191460947106,16.707607442795588,Feynman90,None,17.17984684431227
1.9347864924862102,2.444460532539331,2.909768668834121,1.4051945113881998,3.6764888150377364,4.134083995028746,52.9638674846094,58.73488331974487,Feynman90,None,33.56234109484857
2.153613122151323,2.2885955332034893,1.7978537264795604,1.821361152606406,3.214452298118333,3.4728161478965838,30.022867005190285,20.508772244793906,Feynman90,None,21.800146838928633
