lambd,d,n,target,target_with_noise,equation_name,varied_variable_name,Predicted
1.416340811147232,3.815316935874023,3.501409632701169,0.10622120427146048,0.1456383035661342,Feynman31,None,0.15951501549597036
1.8491111680481072,4.995033376513392,2.4580030340748213,0.15118121445003643,0.2381874740310611,Feynman31,None,0.17862756448429862
1.573636113985834,4.231845419106765,3.302865266127112,0.11282502613292648,0.050387121346923906,Feynman31,None,0.16090705574158984
1.1078081337326884,3.9537862496404608,1.3239676684197086,0.2132408150294773,0.20638172891840761,Feynman31,None,0.25039710345810445
1.7742821353905387,2.4930903441494614,1.3659871327125295,0.5480225665454589,0.5585398737431446,Feynman31,None,0.29158380545023577
1.1052122175968493,4.043140775982799,2.67487578501463,0.10237219909989562,0.074239881395114,Feynman31,None,0.17162030811583942
1.8311356414979585,2.793489491533167,2.8707538156244556,0.2303698802936878,0.23389930158152494,Feynman31,None,0.19638255049705244
1.434251856593942,3.2647111370270947,1.1249987037419324,0.4011820752837249,0.4299308974801148,Feynman31,None,0.29504405187940047
1.366350889217053,4.191974608759924,4.136244137812225,0.07888382121299346,0.071868516184848,Feynman31,None,0.13823559217263023
1.1469375336829084,4.295479029044474,1.4104224790049722,0.190461782961254,0.16747208730747273,Feynman31,None,0.23806870329578272
1.7120508247446447,4.5527885218557635,4.115939163637941,0.09149055798302025,0.16868148704543023,Feynman31,None,0.13908103461437768
1.3963834853882569,4.430860780919172,3.8605701551764495,0.08172382488031076,0.07404746769198059,Feynman31,None,0.14176917373196643
1.8151066801212952,4.608007229107336,1.196591795522373,0.3354427045310616,0.3406895998724458,Feynman31,None,0.2750179580972146
1.240363052956937,4.167470572942705,2.374486432171234,0.12567544170399275,0.1449516616596251,Feynman31,None,0.18142973657968212
1.0229757899324938,2.572553128255608,2.3249414001789157,0.17188165131657593,0.19906477862865457,Feynman31,None,0.20450522692891113
1.8920514932436843,3.6619641266023857,4.371644915738848,0.11846505901284098,0.11142899327799968,Feynman31,None,0.14944383153020493
1.9145560514388449,3.6766588827012425,2.128254568878306,0.24718540599109418,0.23383171105494052,Feynman31,None,0.20824909164556246
1.1837662305085153,2.777974564490799,1.1202806194724095,0.39020069362085275,0.34375636259601255,Feynman31,None,0.3072082442588622
1.6321163329831787,4.4164406379484165,4.701261658255339,0.07868873588809285,0.07532873080574276,Feynman31,None,0.12593406386154946
1.8691677145094117,2.4184212935121865,1.5556886380760733,0.5199235364205492,0.5382004789493129,Feynman31,None,0.27387213297337726
1.846697501704321,4.214845990631652,3.451214797882356,0.1272962484003804,0.1842470747143644,Feynman31,None,0.16212520738234037
