n_rho,mom,B,kb,T,target,target_with_noise,equation_name,varied_variable_name
1.0,2.439729893365558,1.0,1.0,1.0,2.4029203320292334,1.8672329789016686,Feynman81,mom
1.0,2.530167256226233,1.0,1.0,1.0,2.498269682296456,2.2217748028936977,Feynman81,mom
1.0,1.9232759482040596,1.0,1.0,1.0,1.8428568195473272,1.2262076385326222,Feynman81,mom
1.0,3.3922047139946843,1.0,1.0,1.0,3.3845383498777912,3.4215316642454,Feynman81,mom
1.0,2.3596815650109613,1.0,1.0,1.0,2.3179530500556926,2.8791266214724756,Feynman81,mom
1.0,4.987411278790226,1.0,1.0,1.0,4.986946897659319,5.04932085313576,Feynman81,mom
1.0,2.6561976258249653,1.0,1.0,1.0,2.630135455411002,2.542016713728438,Feynman81,mom
1.0,2.57185765307995,1.0,1.0,1.0,2.542013271220895,1.7060936807230114,Feynman81,mom
1.0,2.828825030039448,1.0,1.0,1.0,2.8091445121000818,2.727173293183072,Feynman81,mom
1.0,2.9195495799327422,1.0,1.0,1.0,2.90259860387823,3.577434878545422,Feynman81,mom
1.0,2.086536546669918,1.0,1.0,1.0,2.0232262800372625,1.6925025857114813,Feynman81,mom
1.0,3.3962104508881112,1.0,1.0,1.0,3.388596210912507,3.113814229345264,Feynman81,mom
1.0,4.934425263727629,1.0,1.0,1.0,4.933914456815994,5.422206847963272,Feynman81,mom
1.0,1.1679898253758192,1.0,1.0,1.0,0.9619875928708713,0.580180102507774,Feynman81,mom
1.0,4.566924785160619,1.0,1.0,1.0,4.565938899594002,4.978068603242558,Feynman81,mom
1.0,1.1361952528185486,1.0,1.0,1.0,0.9238732488776563,0.41180770956144064,Feynman81,mom
1.0,4.408705676823045,1.0,1.0,1.0,4.407399735456233,4.474917341132125,Feynman81,mom
1.0,1.5391594321258801,1.0,1.0,1.0,1.403681102589174,1.6667878815374721,Feynman81,mom
1.0,2.2488968753934486,1.0,1.0,1.0,2.1993719287164137,1.9221368643791512,Feynman81,mom
1.0,2.7543493684875187,1.0,1.0,1.0,2.7321216123976053,2.5920760554245184,Feynman81,mom
