n,alpha,epsilon,Ef,target,target_with_noise,equation_name,varied_variable_name
0.9724707964392425,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.8065289951907534,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.5286907091660692,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.48181753998087495,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.1655660012638861,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.9813681622841159,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.28920007661985714,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.8918326596765425,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.23420449192155934,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.039049987280956655,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.8997824375788906,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.19618780429507487,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.9596292468722306,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.9087999712646971,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.05986078948609941,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.37899335979382653,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.8236935388517466,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.22444018820423317,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.7125061394275612,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.9906468131243584,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.7104519202187409,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.49581504702129475,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.8833509751115348,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.8036754123976173,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.29129383662123776,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.058090065310786976,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.9588201768826209,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.5437822632595112,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.10722086317302404,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.9655851859525711,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.523034631527447,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.13789361907920283,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.9711413472380622,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.8816035116705313,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.2808586714158987,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.05319424020551211,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.5964797823299554,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.5503160214051962,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.34836958089790804,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.4051039074370574,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.8341193588755442,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.5196098081317144,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.16133331617717295,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.603986495733907,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.9038043273126218,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.36047256479595635,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.2524186540947907,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.9103568307636646,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.45923403213411174,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.9650007176769057,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.08247931561599542,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.2418182009596963,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.36979253100560394,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.980160216968668,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.4579417530771721,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.7989597257361921,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.5084935697054803,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.7447875793227056,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.06326887712764429,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.5432760230253412,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.7426926000273617,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.4898434264685202,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.6476446740102234,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.6961876737312434,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.4008893968390902,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.1491450097110345,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.9265685532282888,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.7505837050124463,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.72641469209055,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.21498055823259987,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.6966798778024406,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.6612198331192536,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.4011919857478813,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.9392274531118605,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.9918480310269507,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.8019150848536551,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.12964757538657967,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.23628786975880445,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.15772127195871166,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.9823118979065829,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.4430288733886456,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.08857129956356258,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.10445738478614719,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.051010641841212734,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.8445144664858928,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.2780087236876492,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.14132016644795342,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.904694463784296,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.7761536679057378,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.6985394935862002,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.2436989935108539,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.9311864214578537,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.8992632487771818,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.17755277715918916,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.30863532023129625,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.8188400720008924,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.4318939736934557,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.6045898156353404,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.7444424069483238,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.485680770663928,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.5942607350183601,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.7589909374727215,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.38345849089908124,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.43992125151501105,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.08919289965935118,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.17555368278328154,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.14492738817350392,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.3342730149305191,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.69957946361832,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.006585673589173169,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.020957704316473924,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.987520486987638,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.17865644616993492,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.9595167607215552,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.5961809554787305,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.07496520150408192,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.3574506574203723,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.842963624686776,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.2415972905884396,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.17149481675365985,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.6121444000283772,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.7545135678879581,0.0,1.0,1.0,0.0,0.0,Feynman64,n
0.8186459141595177,0.0,1.0,1.0,0.0,0.0,Feynman64,n
