n_rho,mom,B,kb,T,target,target_with_noise,equation_name,varied_variable_name
1.0,1.0,2.4388816312377464,1.0,1.0,0.9848870194761484,0.9838343260562696,Feynman81,B
1.0,1.0,4.733772722325854,1.0,1.0,0.9998453700294707,1.0033609794784626,Feynman81,B
1.0,1.0,2.1322380775849497,1.0,1.0,0.9722713828885099,0.9308982470919328,Feynman81,B
1.0,1.0,3.9463830262307815,1.0,1.0,0.9992534083961506,1.0174808750751845,Feynman81,B
1.0,1.0,4.170150899575862,1.0,1.0,0.9995227133434258,0.9945796326825908,Feynman81,B
1.0,1.0,3.503581486034467,1.0,1.0,0.9981908908829936,0.9693746900830836,Feynman81,B
1.0,1.0,3.489670706335315,1.0,1.0,0.9981398994157547,0.9701358533102431,Feynman81,B
1.0,1.0,2.635029886531227,1.0,1.0,0.9897660301434991,0.9851798992111452,Feynman81,B
1.0,1.0,2.5220140002333995,1.0,1.0,0.9871871646242307,1.0072368348375889,Feynman81,B
1.0,1.0,3.123600719749145,1.0,1.0,0.9961357522676639,0.9484744303058364,Feynman81,B
1.0,1.0,1.238183449896456,1.0,1.0,0.8449367105133185,0.8522809842272632,Feynman81,B
1.0,1.0,1.5681062184631185,1.0,1.0,0.9167240057159193,0.9097144436882056,Feynman81,B
1.0,1.0,1.816032095529215,1.0,1.0,0.9484413078800439,0.9413198412872038,Feynman81,B
1.0,1.0,3.7122845572820737,1.0,1.0,0.9988078753862027,1.005176853281756,Feynman81,B
1.0,1.0,2.396441303589742,1.0,1.0,0.983559209321671,0.9995922010397325,Feynman81,B
1.0,1.0,2.6695939830248703,1.0,1.0,0.9904463220219208,0.9891948064203702,Feynman81,B
1.0,1.0,3.3350000401152595,1.0,1.0,0.9974664162956624,0.9983153142858123,Feynman81,B
1.0,1.0,2.821372731240047,1.0,1.0,0.9929387638260787,0.9974560383086619,Feynman81,B
1.0,1.0,1.188009458849133,1.0,1.0,0.8299605030800536,0.8555054507958134,Feynman81,B
1.0,1.0,3.5504879484626364,1.0,1.0,0.9983527576246825,1.006301977352752,Feynman81,B
1.0,1.0,1.2797895062436817,1.0,1.0,0.8564288227535877,0.8639284029758223,Feynman81,B
1.0,1.0,3.5032917260047647,1.0,1.0,0.9981898431132961,1.039620617585915,Feynman81,B
1.0,1.0,4.533868086571438,1.0,1.0,0.9997693719488314,0.970441799869169,Feynman81,B
1.0,1.0,4.055123465079805,1.0,1.0,0.9993992911294229,1.0048710769892044,Feynman81,B
1.0,1.0,4.015882142033124,1.0,1.0,0.9993502624365032,1.0089872726343232,Feynman81,B
1.0,1.0,3.726226140272332,1.0,1.0,0.9988406374483422,0.9823687157206632,Feynman81,B
1.0,1.0,2.9858086486616364,1.0,1.0,0.994912745498089,0.9869181438112872,Feynman81,B
1.0,1.0,4.589913324657175,1.0,1.0,0.9997938244488108,0.9920094768043496,Feynman81,B
1.0,1.0,2.6316306563369385,1.0,1.0,0.9896965775183934,1.0013074353290659,Feynman81,B
1.0,1.0,1.2772589567031396,1.0,1.0,0.8557528927589783,0.8118800868179888,Feynman81,B
1.0,1.0,2.088707617536662,1.0,1.0,0.9697872034257239,0.9527058503069747,Feynman81,B
1.0,1.0,1.4055865209838,1.0,1.0,0.8865532328696684,0.9133361606468117,Feynman81,B
1.0,1.0,2.3193973238211094,1.0,1.0,0.980846510559018,0.9781088832781666,Feynman81,B
1.0,1.0,2.3925667048715025,1.0,1.0,0.9834323709579177,0.9869759079086484,Feynman81,B
1.0,1.0,1.849603412143841,1.0,1.0,0.9517085925645655,0.9626314305977607,Feynman81,B
1.0,1.0,2.7287177793385657,1.0,1.0,0.9915072616190445,1.0256968718230284,Feynman81,B
1.0,1.0,1.6562527273244978,1.0,1.0,0.9297106771283468,0.9653980080826853,Feynman81,B
1.0,1.0,2.380013539585379,1.0,1.0,0.9830147303436364,1.0202673315166586,Feynman81,B
1.0,1.0,2.5543314998518754,1.0,1.0,0.9879843076187848,1.002960050325483,Feynman81,B
1.0,1.0,3.7324822327709772,1.0,1.0,0.9988550449798048,1.010303893331629,Feynman81,B
1.0,1.0,2.2939759906742423,1.0,1.0,0.9798575765803563,0.9660614510807495,Feynman81,B
1.0,1.0,3.0044081332638304,1.0,1.0,0.9950980542820033,1.0060335207233295,Feynman81,B
1.0,1.0,2.2602008351347576,1.0,1.0,0.9784650983834722,0.9883999390198221,Feynman81,B
1.0,1.0,2.3270087044190784,1.0,1.0,0.9811331418643238,0.9892624384458609,Feynman81,B
1.0,1.0,3.674905541099365,1.0,1.0,0.9987153980934147,0.9753170854968151,Feynman81,B
1.0,1.0,4.686428403327447,1.0,1.0,0.9998300140247242,0.9941738289228584,Feynman81,B
1.0,1.0,1.6902862725882004,1.0,1.0,0.9341836629047988,0.9451855003598052,Feynman81,B
1.0,1.0,1.4552588178610346,1.0,1.0,0.8967278378672913,0.8753110194101946,Feynman81,B
1.0,1.0,1.4685115718608022,1.0,1.0,0.8992931399913173,0.9109892395527762,Feynman81,B
1.0,1.0,4.626795093222984,1.0,1.0,0.9998084839169955,0.9983027297806151,Feynman81,B
1.0,1.0,2.159971976479706,1.0,1.0,0.9737479113265674,0.9996803882688936,Feynman81,B
1.0,1.0,2.784691001932072,1.0,1.0,0.9924032929531355,1.0230219949595794,Feynman81,B
1.0,1.0,3.685526411694018,1.0,1.0,0.9987423805247312,1.0139316359904202,Feynman81,B
1.0,1.0,1.3230072097962688,1.0,1.0,0.8675298321636499,0.8986222005329781,Feynman81,B
1.0,1.0,2.239337616276685,1.0,1.0,0.9775578093106151,1.0023804167661494,Feynman81,B
1.0,1.0,1.3575614100097626,1.0,1.0,0.8758262624054902,0.8587824025874307,Feynman81,B
1.0,1.0,3.182213760212458,1.0,1.0,0.9965624648349986,0.995559352377439,Feynman81,B
1.0,1.0,4.505583907868425,1.0,1.0,0.9997559512767084,1.0234676790059416,Feynman81,B
1.0,1.0,3.6443786770382824,1.0,1.0,0.9986345798789755,0.9959488968897087,Feynman81,B
1.0,1.0,2.1227821517534937,1.0,1.0,0.971749471072396,0.9731004499709898,Feynman81,B
1.0,1.0,1.8859757721463422,1.0,1.0,0.9550206062445143,0.9322749133547301,Feynman81,B
1.0,1.0,4.049191577093435,1.0,1.0,0.9993921241906076,1.0097384865873915,Feynman81,B
1.0,1.0,1.2411200095114205,1.0,1.0,0.8457747255320197,0.8700251010794868,Feynman81,B
1.0,1.0,3.4939077109119223,1.0,1.0,0.9981555808526359,1.045122802507985,Feynman81,B
1.0,1.0,2.333918365389,1.0,1.0,0.981389666361186,0.9691038433677766,Feynman81,B
1.0,1.0,1.4906471625459528,1.0,1.0,0.9034437537319936,0.9241199788491745,Feynman81,B
1.0,1.0,4.175416069492547,1.0,1.0,0.9995277117834346,1.0182866872903569,Feynman81,B
1.0,1.0,4.499456834688202,1.0,1.0,0.9997529426408771,0.9914407227989024,Feynman81,B
1.0,1.0,1.2113611674170741,1.0,1.0,0.8370873302459685,0.8270802941518602,Feynman81,B
1.0,1.0,1.2600630373900197,1.0,1.0,0.8510814875061875,0.8295664411675665,Feynman81,B
1.0,1.0,2.6575568723390424,1.0,1.0,0.9902146727632406,0.9711697974450183,Feynman81,B
1.0,1.0,3.457133438864484,1.0,1.0,0.9980149530515703,0.947316272278416,Feynman81,B
1.0,1.0,4.414313476895401,1.0,1.0,0.9997070844576099,0.9761804438703505,Feynman81,B
1.0,1.0,1.5361092885370393,1.0,1.0,0.9114642628575096,0.8920681551887959,Feynman81,B
