epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name
1.0,1.0,1.0,1.074607690112997,1.0,3.0,0.07558028471710908,0.09305732170797562,Feynman33,r
1.0,1.0,1.0,1.3930918419298903,1.0,3.0,0.1270188373740836,0.13671539413687864,Feynman33,r
1.0,1.0,1.0,1.7179303794211194,1.0,3.0,0.19316113771504706,0.21146218194035402,Feynman33,r
1.0,1.0,1.0,1.4130408408982036,1.0,3.0,0.13068268956815574,0.16815373988443671,Feynman33,r
1.0,1.0,1.0,1.4337120435720887,1.0,3.0,0.13453413855384735,0.10747149645880971,Feynman33,r
1.0,1.0,1.0,1.6761997569083138,1.0,3.0,0.18389087614328326,0.15517887314122844,Feynman33,r
1.0,1.0,1.0,1.3727598009934985,1.0,3.0,0.1233382384731385,0.1268524835803809,Feynman33,r
1.0,1.0,1.0,1.1415039663725777,1.0,3.0,0.08528319949902285,0.1143646155673353,Feynman33,r
1.0,1.0,1.0,1.868462381846643,1.0,3.0,0.22849534263550533,0.25285797230631585,Feynman33,r
1.0,1.0,1.0,1.9824180675958627,1.0,3.0,0.25721668080062404,0.28046250924810157,Feynman33,r
1.0,1.0,1.0,1.4990115524580765,1.0,3.0,0.14706813836237978,0.12766054602899932,Feynman33,r
1.0,1.0,1.0,1.6985173705181147,1.0,3.0,0.1888202727890094,0.1548628246048549,Feynman33,r
1.0,1.0,1.0,1.325836622626594,1.0,3.0,0.11505053894261047,0.13501784370639552,Feynman33,r
1.0,1.0,1.0,1.9691949467755718,1.0,3.0,0.25379675244149397,0.23203707425161277,Feynman33,r
1.0,1.0,1.0,1.1780483893741627,1.0,3.0,0.09083116720164681,0.06341282489807419,Feynman33,r
1.0,1.0,1.0,1.4058313338620425,1.0,3.0,0.12935257335252773,0.09577286830358711,Feynman33,r
1.0,1.0,1.0,1.4602044431357504,1.0,3.0,0.1395519683478525,0.12427843594868254,Feynman33,r
1.0,1.0,1.0,1.4513266417661663,1.0,3.0,0.13786022105384632,0.1465836416228809,Feynman33,r
1.0,1.0,1.0,1.5822592268253444,1.0,3.0,0.16385658870621764,0.14976644418945406,Feynman33,r
1.0,1.0,1.0,1.943719168070992,1.0,3.0,0.24727241494270644,0.24597996099346434,Feynman33,r
1.0,1.0,1.0,1.9617897456831783,1.0,3.0,0.25189152492826167,0.25421286088952194,Feynman33,r
1.0,1.0,1.0,1.0174160151837517,1.0,3.0,0.06774945009579843,0.043486021189203986,Feynman33,r
1.0,1.0,1.0,1.2542397961008478,1.0,3.0,0.10296029739179395,0.13993378027844167,Feynman33,r
1.0,1.0,1.0,1.885906112749774,1.0,3.0,0.23278166579190684,0.23745147822917048,Feynman33,r
1.0,1.0,1.0,1.7060599934658613,1.0,3.0,0.19050098842621666,0.18846106696833828,Feynman33,r
1.0,1.0,1.0,1.1549153983198073,1.0,3.0,0.08729894168982678,0.07447361890377711,Feynman33,r
1.0,1.0,1.0,1.139360404512549,1.0,3.0,0.08496320381730264,0.06719026929021232,Feynman33,r
1.0,1.0,1.0,1.0359685061955726,1.0,3.0,0.07024278805631982,0.04572594694721323,Feynman33,r
1.0,1.0,1.0,1.1880236747269328,1.0,3.0,0.09237593045942115,0.07190599590692406,Feynman33,r
1.0,1.0,1.0,1.791742943008601,1.0,3.0,0.21011644320294828,0.2122150588342565,Feynman33,r
1.0,1.0,1.0,1.3965945773344732,1.0,3.0,0.12765838273882182,0.11039137124629625,Feynman33,r
1.0,1.0,1.0,1.0417187763858924,1.0,3.0,0.07102473460722852,0.06573086143694071,Feynman33,r
1.0,1.0,1.0,1.9936816787568086,1.0,3.0,0.2601478680011027,0.2516391192090193,Feynman33,r
1.0,1.0,1.0,1.4942458004013002,1.0,3.0,0.1461344882855059,0.11674850791868076,Feynman33,r
1.0,1.0,1.0,1.6982547237387724,1.0,3.0,0.18876188162619392,0.20991051210506761,Feynman33,r
1.0,1.0,1.0,1.597007733412919,1.0,3.0,0.16692549535858456,0.18589671466683969,Feynman33,r
1.0,1.0,1.0,1.8016786272009222,1.0,3.0,0.2124532057573781,0.22152019418853314,Feynman33,r
1.0,1.0,1.0,1.288856230610539,1.0,3.0,0.10872203833994772,0.11457097524114071,Feynman33,r
1.0,1.0,1.0,1.4939940096170639,1.0,3.0,0.14608524308466095,0.13634897891926018,Feynman33,r
