epsilon,c,Ef,r,omega,omega_0,target,target_with_noise,equation_name,varied_variable_name
1.9813863489313293,1.9305864139029154,1.2409563595100586,1.0649040322068388,1.9440084553246484,3.7065669697364125,4.029035927761394,3.9077322081532717,Feynman33,None
1.734499437584338,1.2162451782534036,1.886242900557507,1.205944644117558,1.921528052637069,3.793904047195882,5.442977451160257,3.618950789856751,Feynman33,None
1.8440029456955958,1.474245351320988,1.2542578185930087,1.2851185973775023,1.0422247552604738,4.652172459703076,0.08260916603146444,1.2353867868170347,Feynman33,None
1.8747589020851425,1.9506861937084572,1.4969356264574554,1.8908156833451208,1.53524459395313,3.5342129102580064,6.6389836192220235,6.353540843430911,Feynman33,None
1.1460704652290614,1.314464901872674,1.999194205154069,1.9939079851314592,1.4416227004008584,3.0141526156613856,8.821271084969416,8.65522195257477,Feynman33,None
1.4465319108935244,1.702818479792598,1.4099941769465933,1.3443386994660598,1.1928410635367264,3.0330950649941615,1.2409833329566171,1.2014409031312865,Feynman33,None
1.7427007919387956,1.7186261687566042,1.4377638305716045,1.484906230148476,1.0274554919573007,4.719670813700502,0.14152806615674476,-0.7546397031825639,Feynman33,None
1.8860604622299044,1.4268727704549065,1.2034643299959606,1.054432813587689,1.0238691161912574,3.7464260998374685,0.11826794299433223,0.6228311073883109,Feynman33,None
1.2708458055017016,1.9754911653792053,1.5660685594391008,1.7308047293169198,1.4235881006296285,3.3608282469211552,3.693914111321684,1.715745183672628,Feynman33,None
1.387999946925822,1.1347153322068149,1.1928444741728799,1.3446897580402943,1.8371694236805265,3.4605077180797004,2.6144757310888895,4.456596983235214,Feynman33,None
1.0250269061183195,1.1871188671352793,1.778423490071071,1.2775705988167407,1.2934815821617467,4.627391601022446,0.18902532852689405,1.6710424944877265,Feynman33,None
1.3487422907458833,1.5136731329891924,1.4110318768841754,1.4949208248304293,1.1361042893086826,4.9731728096247005,0.11535960539000019,-1.2354248598466022,Feynman33,None
