border,true positive rate,false positive rate
0.043483571918899386,1.0,1.0
0.04372147934022183,1.0,1.0
0.043959386761544275,1.0,1.0
0.04419729418286673,1.0,1.0
0.04443520160418917,1.0,1.0
0.044673109025511616,1.0,1.0
0.04491101644683406,1.0,1.0
0.045148923868156506,1.0,1.0
0.04538683128947895,1.0,1.0
0.0456247387108014,1.0,1.0
0.04586264613212385,1.0,1.0
0.04610055355344629,1.0,1.0
0.046338460974768736,1.0,1.0
0.04657636839609118,1.0,1.0
0.046814275817413625,1.0,1.0
0.04705218323873608,1.0,1.0
0.04729009066005852,1.0,1.0
0.047527998081380966,1.0,1.0
0.04776590550270341,1.0,1.0
0.048003812924025856,1.0,1.0
0.04824172034534831,1.0,1.0
0.04847962776667075,1.0,1.0
0.0487175351879932,1.0,1.0
0.04895544260931564,1.0,1.0
0.049193350030638086,1.0,1.0
0.04943125745196053,1.0,1.0
0.04966916487328298,1.0,1.0
0.04990707229460543,1.0,1.0
0.05014497971592787,1.0,1.0
0.050382887137250316,1.0,1.0
0.05062079455857276,1.0,1.0
0.05085870197989521,1.0,1.0
0.05109660940121766,1.0,1.0
0.0513345168225401,1.0,1.0
0.05157242424386255,1.0,1.0
0.05181033166518499,1.0,1.0
0.052048239086507436,1.0,1.0
0.05228614650782988,1.0,1.0
0.05252405392915233,1.0,1.0
0.05276196135047478,1.0,1.0
0.05299986877179722,1.0,1.0
0.05323777619311967,1.0,1.0
0.05347568361444212,1.0,1.0
0.05371359103576456,1.0,1.0
0.05395149845708701,1.0,1.0
0.05418940587840945,1.0,1.0
0.0544273132997319,1.0,1.0
0.05466522072105434,1.0,1.0
0.054903128142376786,1.0,1.0
0.05514103556369923,1.0,1.0
0.05537894298502168,1.0,1.0
0.05561685040634413,1.0,1.0
0.05585475782766657,1.0,1.0
0.05609266524898902,1.0,1.0
0.05633057267031147,1.0,1.0
0.05656848009163391,1.0,1.0
0.05680638751295636,1.0,1.0
0.0570442949342788,1.0,1.0
0.05728220235560125,1.0,1.0
0.05752010977692369,1.0,1.0
0.05775801719824614,1.0,1.0
0.05799592461956859,1.0,1.0
0.05823383204089103,1.0,1.0
0.05847173946221348,1.0,1.0
0.05870964688353592,1.0,1.0
0.058947554304858374,1.0,1.0
0.05918546172618082,1.0,1.0
0.05942336914750326,1.0,1.0
