epsilon,p_d,r,x,y,z,target,target_with_noise,equation_name,varied_variable_name,Predicted
2.902750055404906,1.0,1.0,1.0,1.0,1.0,0.11630991718707254,0.13485347235867282,Feynman56,epsilon,0.11798198917867106
2.5728217523922856,1.0,1.0,1.0,1.0,1.0,0.13122503268832636,0.14375181784552327,Feynman56,epsilon,0.13058123978449734
1.0784497480390325,1.0,1.0,1.0,1.0,1.0,0.31305920296500944,0.3144112046964773,Feynman56,epsilon,0.30766073621077616
1.5924945927900533,1.0,1.0,1.0,1.0,1.0,0.21200613181826033,0.24028549832573914,Feynman56,epsilon,0.21267985404471187
2.3013679361242274,1.0,1.0,1.0,1.0,1.0,0.14670345113415634,0.1617112234238296,Feynman56,epsilon,0.1445409407757562
2.9156634371307586,1.0,1.0,1.0,1.0,1.0,0.11579478421938783,0.08274654109465666,Feynman56,epsilon,0.11753736166714243
1.249277352854862,1.0,1.0,1.0,1.0,1.0,0.2702511318142326,0.2847261909374184,Feynman56,epsilon,0.27073632016818905
1.3795592981650975,1.0,1.0,1.0,1.0,1.0,0.2447293269727291,0.257435611921112,Feynman56,epsilon,0.2463127137994196
2.5456346381880177,1.0,1.0,1.0,1.0,1.0,0.1326265024423268,0.12126429790295049,Feynman56,epsilon,0.13179049080091446
2.0551360455511007,1.0,1.0,1.0,1.0,1.0,0.16428042284099967,0.15923366960150603,Feynman56,epsilon,0.16195411125670867
2.036766270828867,1.0,1.0,1.0,1.0,1.0,0.1657620824708179,0.17132404998409917,Feynman56,epsilon,0.16348123609316187
1.4981589325460254,1.0,1.0,1.0,1.0,1.0,0.22535567570601706,0.22555283799993658,Feynman56,epsilon,0.22666792243711112
1.494207787723438,1.0,1.0,1.0,1.0,1.0,0.22595158540386645,0.23228562109726023,Feynman56,epsilon,0.22728465622443636
2.8524009400620467,1.0,1.0,1.0,1.0,1.0,0.11836296006534437,0.11702425570972402,Feynman56,epsilon,0.11973445741414492
2.719016427859078,1.0,1.0,1.0,1.0,1.0,0.12416939268908789,0.1275972008847284,Feynman56,epsilon,0.12460901521539831
1.4103956980694015,1.0,1.0,1.0,1.0,1.0,0.23937865027598915,0.2445244447441514,Feynman56,epsilon,0.24097548190971557
1.4155616362020413,1.0,1.0,1.0,1.0,1.0,0.23850506394391074,0.2192976452345857,Feynman56,epsilon,0.24009739872975072
2.681829275288756,1.0,1.0,1.0,1.0,1.0,0.1258911675213043,0.13971698202819924,Feynman56,epsilon,0.1260532757782302
