sigma,theta,target,target_with_noise,equation_name,varied_variable_name,Predicted
1.0,2.282965333527018,0.029454638111046018,0.017956916309636195,Feynman2,theta,0.044328375327402254
1.0,1.019100082294782,0.23734962306797366,0.2425146601378842,Feynman2,theta,0.19474780555266566
1.0,1.3412490321834205,0.16228308728834637,0.12106779974332484,Feynman2,theta,0.15640711933689283
1.0,1.307012670258081,0.16980923937375306,0.2218658482377598,Feynman2,theta,0.16048177368423225
1.0,1.8052642488006398,0.0782045039982781,0.10945496155953587,Feynman2,theta,0.10118216192840614
1.0,2.632628351867356,0.012471558430347127,-0.027037882032231855,Feynman2,theta,0.0027130904882850314
1.0,2.355170366452539,0.02491333041548745,0.032749912014057254,Feynman2,theta,0.03573486430280349
1.0,2.2158315547275866,0.034256009402139444,0.048565457575109564,Feynman2,theta,0.052318328997647136
1.0,1.5239725947206975,0.1249071312336896,0.10442343320380466,Feynman2,theta,0.13466020118080838
1.0,2.977946877477883,0.004733822157117573,-0.023086101053466812,Feynman2,theta,-0.03838513346548652
1.0,2.347546548235453,0.02536396200155006,-0.01535220232925456,Feynman2,theta,0.03664221609354787
1.0,1.5701968584298178,0.11628657965452069,0.10829579143820905,Feynman2,theta,0.12915880186470197
1.0,2.567827140121583,0.014760410567399932,0.0002718891368223616,Feynman2,theta,0.010425432813075076
1.0,1.1808205459233174,0.19867059763208017,0.17088564005008142,Feynman2,theta,0.17550057992913703
1.0,1.2377674990511571,0.18544949019645993,0.14866645628412523,Feynman2,theta,0.16872301549400964
1.0,2.6817113857657535,0.010946598486534521,-0.024458603173285097,Feynman2,theta,-0.003128546581734606
1.0,2.30111127194825,0.028254710945821635,-0.010260999457766967,Feynman2,theta,0.0421687291710865
1.0,1.1902770907241453,0.19645570173392035,0.19220547426932955,Feynman2,theta,0.17437510546348556
1.0,1.4911047454429662,0.1312521214587309,0.13249367077167865,Feynman2,theta,0.13857198146501903
1.0,1.904008045042809,0.0651175063613055,0.06803059587745323,Feynman2,theta,0.0894301293301642
1.0,2.6792240847955044,0.011019824714833594,0.04963923985562531,Feynman2,theta,-0.002832519453524864
1.0,2.9364835863780456,0.005351349752332053,-0.020578001201507806,Feynman2,theta,-0.03345036305059611
1.0,2.48611786643486,0.018145556737225413,0.028076644206771213,Feynman2,theta,0.020150094916516252
1.0,2.5747427980526085,0.014500258947503368,-0.020884703009427755,Feynman2,theta,0.009602362998988642
1.0,1.2601479896853565,0.18033753111751802,0.20787084150605503,Feynman2,theta,0.16605939243210807
1.0,1.0558074073986154,0.22848078274351336,0.1975510981923583,Feynman2,theta,0.19037906860165443
1.0,1.7181717670442493,0.09117307609548016,0.12873745473268844,Feynman2,theta,0.11154750864973943
1.0,1.1003687197557364,0.21776382110436437,0.2280642818527912,Feynman2,theta,0.18507558620613385
1.0,1.5280443935300727,0.1241334146088305,0.0963812751420142,Feynman2,theta,0.13417559440979596
1.0,1.6306223792373737,0.10556765995508458,0.1278538568303139,Feynman2,theta,0.12196723422513434
1.0,2.0783542220403417,0.04601827543436913,0.05553388776867588,Feynman2,theta,0.06868024900254203
1.0,1.0658896296524076,0.2260500408555069,0.21294955464420834,Feynman2,theta,0.18917912889307079
1.0,1.9038762225113854,0.06513385176512593,0.03911476567240693,Feynman2,theta,0.08944581824172475
1.0,2.9743679492000705,0.004784513735965007,0.012138196291871241,Feynman2,theta,-0.037959185863470905
1.0,1.6210719811087586,0.10721965297339628,0.11636772036004907,Feynman2,theta,0.12310387869630023
1.0,2.667161016933301,0.011380971574319216,0.0340349064701469,Feynman2,theta,-0.0013968285668811552
1.0,1.947181189176054,0.05992294303276432,0.09557554226555988,Feynman2,theta,0.08429186022880548
1.0,1.5594413296926795,0.1182602986078165,0.14398748418124363,Feynman2,theta,0.13043887543872973
1.0,1.01616004605639,0.2380608054623911,0.2623152841277177,Feynman2,theta,0.1950977151387017
1.0,1.641017668287249,0.1037876777231537,0.08452692051132388,Feynman2,theta,0.12073003472135194
1.0,2.050108784248728,0.04878113850740294,0.03461825437005741,Feynman2,theta,0.0720418911333391
