sigma,theta,target,target_with_noise,equation_name,varied_variable_name,Predicted
1.9378112250374133,1.0,0.18020693610407468,0.18421860921635128,Feynman2,sigma,0.17984460184406245
2.3812295061984607,1.0,0.1533956176363702,0.13607842051908411,Feynman2,sigma,0.15617753136209728
2.636837923000923,1.0,0.1407976862532196,0.12452989021269349,Feynman2,sigma,0.14488338113635352
1.6554633650646022,1.0,0.20079636069870158,0.20122201819228172,Feynman2,sigma,0.1976083527111415
1.0349105264420497,1.0,0.24169236778986714,0.24640567595375568,Feynman2,sigma,0.24401524476728936
2.9444038438734825,1.0,0.12789850494748445,0.13563089639185774,Feynman2,sigma,0.1335703764090845
2.9443160814207516,1.0,0.12790187751340157,0.11676356803548135,Feynman2,sigma,0.133573249799227
2.734387416436467,1.0,0.13646067150818328,0.15729493031181635,Feynman2,sigma,0.1410259754205038
1.4696381797081082,1.0,0.2153579427765588,0.20684682196263188,Feynman2,sigma,0.21044303842342268
2.713378618046153,1.0,0.13737435873006973,0.13272129547197975,Feynman2,sigma,0.14183558994696505
1.1075494540904758,1.0,0.2396208503988714,0.2330098622320098,Feynman2,sigma,0.23805990370208496
2.8637696827389263,1.0,0.13106731650289108,0.13356702239174634,Feynman2,sigma,0.13629575716080738
2.50064217972027,1.0,0.14727627706608157,0.15995028498158478,Feynman2,sigma,0.1506874538204786
2.8009702452108662,1.0,0.13363598021005285,0.12018418940137134,Feynman2,sigma,0.1385367413788243
1.6887558061611225,1.0,0.19824482300889135,0.19654798458714262,Feynman2,sigma,0.195404783402542
1.7107376276528063,1.0,0.19657553252215826,0.19228510118998585,Feynman2,sigma,0.1939658162026802
2.5926824850093197,1.0,0.142842282302836,0.14552457127142943,Feynman2,sigma,0.14671167188777157
2.8767456218647394,1.0,0.13054773956787244,0.14490319935765172,Feynman2,sigma,0.1358456386206246
1.3110675698339926,1.0,0.22748652087032883,0.22039197329132434,Feynman2,sigma,0.2221131568797288
1.5929234504800727,1.0,0.2056537782324012,0.20995809517834782,Feynman2,sigma,0.20182654508958162
2.604231533689501,1.0,0.14230245875117292,0.1249603434425193,Feynman2,sigma,0.14622852432459638
2.17280191276226,1.0,0.1651560808098855,0.16126941901248132,Feynman2,sigma,0.16665834718542605
1.0679144508188685,1.0,0.24097238138674404,0.2382997762381672,Feynman2,sigma,0.24129220524148254
1.5331541284498635,1.0,0.21035035249837125,0.22207006185783476,Feynman2,sigma,0.2059539617415719
1.8970946979363787,1.0,0.1830143257232402,0.20637716862503125,Feynman2,sigma,0.18227693170932602
1.5512483489065625,1.0,0.20892493635523657,0.1946688680981119,Feynman2,sigma,0.20469453894316111
2.645990689199947,1.0,0.14038035370630092,0.13298527293858686,Feynman2,sigma,0.14451081735817825
2.1691466168767466,1.0,0.16537530132016776,0.1633079011661002,Feynman2,sigma,0.1668523447658015
1.4171265352075875,1.0,0.21946926703553638,0.22107788235569448,Feynman2,sigma,0.21423446133919347
1.7929103880737474,1.0,0.19045818776791335,0.1927295709039625,Feynman2,sigma,0.1886991530082719
2.7110241641765276,1.0,0.13747743989798789,0.13402442966620048,Feynman2,sigma,0.14192704644560167
1.1036283516695689,1.0,0.23977547334357416,0.23783437392221746,Feynman2,sigma,0.23837783542223537
2.824789981525096,1.0,0.1326510074884559,0.12152596859679163,Feynman2,sigma,0.13767453423775436
2.9248380074026503,1.0,0.12865444521553496,0.13576964454171367,Feynman2,sigma,0.1342159821351494
2.9045767241696963,1.0,0.12944592830705748,0.12042665761756959,Feynman2,sigma,0.13489514265270072
1.0084253266114849,1.0,0.2419537870290287,0.230014915017703,Feynman2,sigma,0.2462211580885563
2.319191749290484,1.0,0.1567477588368729,0.16070927789965656,Feynman2,sigma,0.15917773028783433
2.437606463650968,1.0,0.150453239549362,0.16397076887676515,Feynman2,sigma,0.15353884844971738
2.4487969495668818,1.0,0.14988066201266143,0.14455109841583158,Feynman2,sigma,0.1530250249920249
